103774, 1468, 1218, 3699, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
103815, 1501, 1299, 3661, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
103856, 1453, 1247, 3692, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
103897, 1489, 1185, 3690, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
103938, 1499, 1235, 3654, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
103979, 1465, 1254, 3675, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104020, 1466, 1237, 3682, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104065, 1461, 1256, 3675, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104110, 1476, 1241, 3677, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104155, 1476, 1258, 3686, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104200, 1504, 1235, 3672, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104245, 1449, 1222, 3689, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104290, 1455, 1227, 3679, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104335, 1462, 1256, 3674, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104380, 1486, 1269, 3700, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104425, 1495, 1221, 3690, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104470, 1460, 1233, 3694, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104500, 1467, 1245, 3671, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104531, 1481, 1250, 3700, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104562, 1473, 1269, 3685, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104593, 1442, 1257, 3666, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104624, 1447, 1239, 3694, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104655, 1487, 1247, 3685, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104686, 1476, 1229, 3674, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104717, 1446, 1245, 3693, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104748, 1463, 1219, 3695, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104779, 1465, 1227, 3688, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104810, 1425, 1267, 3674, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104851, 1480, 1256, 3686, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104892, 1449, 1239, 3661, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104933, 1456, 1214, 3691, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
104974, 1464, 1278, 3668, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105015, 1433, 1243, 3685, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105056, 1439, 1267, 3690, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105097, 1440, 1252, 3701, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105138, 1458, 1244, 3668, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105179, 1463, 1218, 3688, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105221, 1448, 1250, 3683, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105259, 1467, 1271, 3687, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105298, 1427, 1239, 3690, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105336, 1460, 1247, 3676, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105375, 1459, 1262, 3691, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105413, 1425, 1249, 3681, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105452, 1444, 1246, 3682, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105490, 1465, 1268, 3688, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105529, 1446, 1259, 3690, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105567, 1459, 1256, 3683, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105606, 1453, 1251, 3683, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105644, 1442, 1262, 3692, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105683, 1419, 1249, 3693, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105722, 1469, 1293, 3665, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105761, 1433, 1237, 3689, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105800, 1429, 1254, 3691, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105838, 1437, 1273, 3684, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105877, 1424, 1235, 3702, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105916, 1441, 1231, 3717, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105955, 1432, 1277, 3700, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
105994, 1450, 1242, 3698, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106033, 1443, 1259, 3671, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106074, 1424, 1270, 3701, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106116, 1426, 1235, 3686, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106158, 1427, 1298, 3681, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106199, 1431, 1244, 3712, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106241, 1406, 1274, 3692, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106283, 1421, 1253, 3711, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106324, 1449, 1238, 3686, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106366, 1438, 1241, 3682, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106408, 1437, 1265, 3700, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106450, 1409, 1264, 3689, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106482, 1446, 1267, 3679, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106514, 1450, 1251, 3702, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106546, 1454, 1250, 3675, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106578, 1451, 1232, 3704, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106610, 1426, 1259, 3685, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106643, 1428, 1246, 3697, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106675, 1453, 1278, 3683, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106707, 1438, 1238, 3686, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106739, 1459, 1261, 3681, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106771, 1440, 1256, 3710, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106804, 1454, 1236, 3686, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106844, 1447, 1245, 3685, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106885, 1459, 1275, 3667, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106925, 1456, 1235, 3674, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
