171365, 2259, 576, 3382, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
171404, 2351, 929, 3226, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
171442, 2229, 668, 3396, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
171481, 2624, 1041, 3126, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
171520, 2732, 1078, 3065, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171556, 2678, 782, 3167, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171592, 2654, 505, 3802, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171628, 2925, 652, 5191, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171664, 5117, 2953, 4705, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171700, 4848, 5334, 2935, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171736, 4456, 4484, 3382, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171772, 3147, 5506, 2900, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171808, 2418, 4203, 1929, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171844, 879, 3252, 1317, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171880, -194, 2348, 738, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171917, -1066, 867, 1072, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171958, -1728, 373, 915, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
171999, -2156, -146, 1450, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172041, -2308, -433, 1297, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172082, -2550, 95, 1516, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172124, -2693, -3, 1885, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172165, -2996, 440, 1454, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172206, -3152, 667, 1352, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172248, -3535, 1452, 1111, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172289, -3425, 1447, 934, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172331, -3872, 1676, 944, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172370, -3833, 1216, 891, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172410, -3780, 1379, 923, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172450, -3978, 1561, 969, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172489, -3815, 1196, 904, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172529, -3860, 1182, 913, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172569, -3744, 1306, 855, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172609, -3601, 1563, 1127, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172648, -3644, 1613, 859, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172688, -3574, 1222, 1024, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172728, -3784, 1101, 777, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172768, -3781, 1151, 822, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172803, -3727, 1379, 1085, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172839, -3858, 1397, 1064, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172875, -3667, 1264, 993, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172911, -3768, 1531, 803, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172947, -3570, 1485, 917, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
172982, -3488, 1236, 808, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173018, -2984, 1615, 953, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173054, -2038, 637, 1506, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173090, -2248, -1136, 1908, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173126, -1849, -577, 2036, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173165, -1645, 640, 1314, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173204, -1487, 2200, 655, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173243, -2269, 2385, 51, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173283, -1468, 4074, 722, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173322, -371, 3840, 1078, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173361, 590, 3439, 3633, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173401, 3284, 2567, 3935, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173440, 1659, 3014, 4427, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173479, 3106, 2629, 4175, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173519, 2631, 2285, 3928, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
