179980, 2219, 1596, 3159, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180019, 2189, 1723, 3225, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180057, 2117, 1864, 3078, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180096, 2040, 1782, 2990, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180134, 1947, 1744, 3038, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180172, 1850, 1894, 3049, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180211, 1783, 1907, 3220, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180249, 1739, 1900, 3246, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180288, 1729, 1992, 3310, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180329, 1658, 2026, 3261, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180370, 1671, 1980, 3244, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180412, 1629, 2068, 3282, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180453, 1776, 2043, 3112, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180495, 1811, 1996, 3054, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180536, 1793, 2001, 3063, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180577, 1816, 2066, 3142, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180619, 1802, 2149, 3119, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180660, 1762, 2119, 3062, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180702, 1729, 2058, 3052, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180735, 1737, 2087, 3071, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180769, 1803, 2014, 3060, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180803, 1835, 2052, 3026, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180837, 1824, 2063, 3015, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180871, 1808, 2180, 3069, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180904, 1731, 2217, 3062, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
180938, 1704, 2216, 3078, 103, ee0eac5b-2a8f-4bde-a990-6f7fc1f8d1d2, , duduk, duduk_antara_dua_sujud, , 
