287102, 1440, 1113, 3751, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287138, 1445, 1141, 3696, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287173, 1478, 1292, 3626, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287209, 1557, 1336, 3795, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287250, 1573, 1224, 3555, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287291, 1667, 1215, 3660, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287332, 1690, 1220, 3583, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287373, 1805, 1212, 3488, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287415, 1832, 1314, 3523, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287456, 1880, 1264, 3577, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287497, 1869, 1350, 3504, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287538, 1721, 1176, 3550, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287579, 1654, 1239, 3717, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287621, 1610, 1219, 3617, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287659, 1593, 1200, 3611, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287697, 1534, 1221, 3658, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287735, 1521, 1229, 3638, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287773, 1582, 1242, 3649, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287812, 1591, 1226, 3634, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287850, 1578, 1199, 3649, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287888, 1595, 1196, 3656, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287926, 1591, 1199, 3647, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
287964, 1576, 1190, 3657, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288003, 1614, 1187, 3641, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
