55120, 1965, 2037, 3029, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55154, 2017, 2086, 3113, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55187, 1832, 2120, 2933, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55221, 1637, 2046, 3126, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55255, 1560, 2372, 3049, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55289, 1359, 2150, 3181, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55330, 1139, 2227, 3076, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55371, 1020, 2190, 3384, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55412, 861, 2173, 3441, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55453, 838, 2240, 3514, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55495, 872, 2269, 3385, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55536, 1422, 2522, 3075, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55577, 1633, 2059, 3146, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55618, 1671, 2094, 3124, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55659, 1763, 2340, 3024, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55701, 1591, 2384, 2983, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55737, 1587, 2320, 3089, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55773, 1599, 2350, 3048, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55810, 1706, 2344, 2999, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55846, 1728, 2335, 2955, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55883, 1770, 2398, 2974, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55919, 1792, 2323, 2874, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55956, 1876, 2364, 2879, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
55992, 1865, 2352, 2921, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56029, 1686, 2270, 2998, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56065, 1581, 2466, 2990, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56102, 1618, 2428, 2917, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56141, 1609, 2362, 3005, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56180, 1573, 2469, 2959, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56219, 1602, 2484, 2934, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56258, 1528, 2472, 2956, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56297, 1546, 2470, 2958, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56336, 1527, 2435, 2956, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56375, 1539, 2505, 2924, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56414, 1548, 2493, 2958, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56453, 1545, 2499, 2952, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56492, 1483, 2491, 2952, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56529, 1494, 2505, 2929, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56566, 1486, 2531, 2947, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56603, 1470, 2538, 2944, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56640, 1469, 2505, 2934, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56677, 1449, 2527, 2932, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56715, 1467, 2551, 2966, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56752, 1465, 2519, 2943, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56789, 1457, 2533, 2929, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56826, 1477, 2534, 2921, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56863, 1452, 2554, 2899, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56901, 1464, 2581, 2937, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56941, 1468, 2521, 2942, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
56981, 1461, 2534, 2947, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57021, 1487, 2509, 2945, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57061, 1495, 2540, 2927, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57101, 1472, 2534, 2912, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57141, 1470, 2581, 2923, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57181, 1456, 2553, 2940, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57221, 1444, 2548, 2926, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57261, 1458, 2582, 2920, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57302, 1440, 2546, 2917, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57346, 1471, 2518, 2936, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57391, 1486, 2574, 2928, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57436, 1450, 2542, 2926, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57481, 1442, 2578, 2901, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57526, 1431, 2557, 2925, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57570, 1444, 2553, 2918, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57615, 1470, 2524, 2908, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57660, 1459, 2562, 2906, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57705, 1444, 2560, 2908, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57750, 1439, 2544, 2900, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57782, 1457, 2570, 2906, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57814, 1425, 2592, 2909, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57846, 1435, 2575, 2920, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57878, 1456, 2561, 2884, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57910, 1438, 2614, 2914, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57942, 1404, 2551, 2910, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
57974, 1403, 2593, 2891, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
58006, 1398, 2641, 2928, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
58038, 1372, 2490, 2900, 69, 0479dc6c-b916-4909-b0f3-cc79f66d56a6, , duduk, duduk_antara_dua_sujud, , 
