148524, 3214, 2279, 1186, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148562, 3227, 2314, 1144, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148600, 3231, 2312, 1131, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148639, 3194, 2372, 1152, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148677, 3161, 2376, 1247, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148715, 3145, 2326, 1264, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148753, 3069, 2445, 1300, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148791, 3105, 2319, 1470, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148830, 2959, 2455, 1329, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148866, 2877, 2523, 1556, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148903, 2803, 2593, 1674, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148940, 2785, 2599, 1690, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
148977, 2787, 2555, 1702, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149014, 2696, 2679, 1696, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149050, 2764, 2697, 1690, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149087, 2719, 2620, 1677, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149124, 2699, 2651, 1726, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149161, 2721, 2635, 1682, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149198, 2651, 2744, 1670, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149235, 2699, 2653, 1721, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149273, 2721, 2617, 1644, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149311, 2688, 2680, 1713, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149350, 2781, 2627, 1682, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149388, 2694, 2707, 1695, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149427, 2781, 2538, 1475, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149465, 2771, 2685, 1664, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149503, 2837, 2634, 1661, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149542, 2975, 2692, 1557, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149580, 3133, 2401, 1835, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149619, 3603, 2619, 2290, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149660, 3642, 2606, 2574, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149702, 3499, 2235, 1971, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
