260637, 3511, 1966, 710, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260676, 3513, 2184, 645, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260715, 3495, 2037, 679, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260754, 3470, 2128, 773, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260792, 3497, 2118, 792, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260831, 3457, 1971, 1092, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260870, 3541, 2114, 852, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260909, 3403, 2068, 1069, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260948, 3254, 2124, 1074, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
260985, 3221, 2368, 1220, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261022, 3155, 2361, 1390, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261059, 3020, 2254, 1586, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261096, 3054, 2265, 1766, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261133, 2870, 2392, 1865, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261170, 2698, 2478, 1922, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261207, 2684, 2323, 2061, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261244, 2555, 2441, 2093, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261281, 2504, 2448, 2171, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261318, 2428, 2545, 2251, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261355, 2388, 2601, 2250, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261392, 2273, 2701, 2370, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261429, 2271, 2709, 2546, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261468, 2198, 3067, 2568, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261508, 2706, 2738, 2515, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261547, 3240, 2055, 2583, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261587, 4479, 3060, 2562, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261626, 5419, 1837, 2108, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261666, 6117, 1173, 2092, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261705, 4583, 606, 1284, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261745, 3170, -216, 685, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261784, 2201, -552, 310, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261824, 2047, 2435, 15015, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261863, 2491, -1192, 2306, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261903, 2103, 1797, 1170, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261943, 1988, 1034, 2117, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
261980, 2301, 1935, 2957, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262018, 2074, 2694, 2436, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262055, 2401, 2013, 2732, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262093, 2286, 2315, 2106, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262130, 1976, 2818, 2891, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262168, 1575, 2748, 2657, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262205, 1200, 2675, 2708, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262243, 878, 2479, 3325, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262280, 608, 2817, 3251, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262318, 481, 3063, 3486, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262355, 407, 2860, 4170, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262393, 440, 2397, 3366, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262431, 1081, 2689, 3244, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262469, 975, 2311, 3327, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262507, 942, 2211, 3397, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262545, 946, 2451, 3141, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262583, 825, 2252, 3201, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262621, 787, 2482, 3226, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262659, 1259, 3174, 1920, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262697, -226, -177, 28, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262735, 2975, 1983, 211, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262773, 3596, 908, 1579, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262811, 6073, 2101, 2808, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262849, 5094, 880, 828, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262887, 5779, 1558, -130, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262926, 6442, 727, -27, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
262965, 7273, 221, 3218, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263005, 2335, 650, 1500, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263045, 4119, 1131, 403, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263085, 4021, 923, 1009, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263124, 4257, 514, 587, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263164, 3898, 1218, 432, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263204, 4061, -29, 211, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263244, 4186, 260, 22, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263283, 4232, -1, -16, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263323, 4206, -20, -206, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263363, 4099, 88, -229, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263403, 4133, 313, -370, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263443, 4126, 390, -353, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263483, 4164, 295, -447, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263523, 4166, 426, -433, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263563, 4163, 232, -489, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263603, 4275, 155, -386, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263644, 4186, 172, -330, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263684, 4134, 107, -229, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263724, 4194, 230, -149, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263764, 4139, 176, -39, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263805, 4426, 105, 158, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263845, 4633, 442, -33, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263885, 5214, 97, 677, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263925, 6216, -174, 2094, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
