70858, 3450, 1798, 1392, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
70898, 3447, 1806, 1474, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
70938, 3335, 1849, 1568, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
70978, 3406, 1621, 1622, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71019, 3224, 1955, 1739, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71062, 3279, 1663, 1830, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71105, 3107, 1940, 1973, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71148, 2962, 2033, 2072, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71191, 2982, 1729, 2303, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71235, 2856, 1890, 2353, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71278, 2819, 1839, 2423, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71321, 2723, 2007, 2476, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71364, 2736, 1899, 2476, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71407, 2661, 1923, 2634, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71451, 2755, 1690, 2652, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71489, 2664, 1866, 2764, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71527, 2679, 2037, 2722, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71565, 2875, 2266, 2858, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71603, 3270, 1823, 3247, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71641, 4983, 1863, 4418, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71680, 3412, 495, 3564, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71718, 4351, 2949, -1661, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71756, 6611, 280, -297, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71794, 4855, 335, 1075, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71832, 4332, -386, 621, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71871, 4060, -124, 640, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71906, 3719, 53, 579, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71941, 3642, 554, 728, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
71976, 3529, 607, 991, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72011, 3494, 764, 1405, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72046, 2953, 970, 752, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72081, 3204, 1295, 5359, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
