77210, 2812, 1449, 2650, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77247, 2823, 1498, 2707, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77284, 2835, 1457, 2701, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77322, 2767, 1505, 2629, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77359, 2720, 1511, 2711, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77397, 2764, 1527, 2702, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77434, 2746, 1463, 2709, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77471, 2796, 1454, 2762, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77509, 2773, 1445, 2726, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77546, 2833, 1297, 2787, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77584, 2765, 1378, 2782, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77621, 2699, 1362, 2804, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77658, 2789, 1238, 2776, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77695, 2633, 1362, 2787, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77732, 2784, 1260, 2893, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77769, 2750, 1272, 2825, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77807, 2700, 1290, 2890, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77844, 2781, 1168, 2880, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77881, 2702, 1256, 2873, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77918, 2841, 1171, 2932, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77955, 2755, 1117, 2854, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
77993, 2755, 1177, 2869, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78034, 2762, 1134, 2878, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78076, 2771, 1179, 2854, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78118, 2791, 1080, 2890, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78159, 2686, 1209, 2917, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78201, 2927, 1043, 2754, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78243, 2867, 1168, 2765, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78284, 2827, 1150, 2726, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78326, 3118, 799, 2782, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78368, 3058, 1199, 2722, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78410, 3151, 721, 2792, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78444, 3100, 1332, 2614, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78479, 3316, 845, 2312, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78513, 3237, 1605, 2795, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78548, 3557, 693, 2352, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78582, 3483, 634, 2979, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78617, 4192, 1621, 2089, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78651, 3545, 916, 3124, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78686, 3865, 1150, 2465, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78720, 3456, 1852, 1592, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78755, 4109, 603, 1189, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78790, 3670, 1221, 988, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78832, 3747, 964, 629, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78874, 3762, 1221, 413, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78916, 3449, 685, 479, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
78958, 3616, 1231, 639, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79000, 3672, 1292, 1056, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79042, 3549, 653, 747, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79084, 3304, 1881, 662, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79126, 3598, 1382, 263, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79168, 3321, 1986, -808, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79210, 4089, 4370, 1866, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79245, 3196, 3801, 320, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79280, 3614, 1207, 400, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79315, 3410, 1642, 708, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79350, 3653, 1942, 1659, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79385, 3342, 1836, 1295, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79420, 3445, 1812, 1161, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79455, 3538, 1801, 1157, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79490, 3548, 1959, 1014, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
