110266, 2677, 1305, 2875, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110305, 2773, 1289, 2746, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110343, 2675, 1293, 2845, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110382, 2726, 1368, 2847, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110421, 2751, 1347, 2823, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110460, 2771, 1333, 2728, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110499, 2892, 1359, 2688, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110538, 2859, 1703, 2686, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110577, 2668, 1458, 2954, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110616, 2463, 1454, 3025, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110655, 2494, 1323, 3021, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110694, 2606, 1396, 2928, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110733, 2576, 1445, 2830, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110773, 2504, 1499, 2926, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110814, 2625, 1395, 2941, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110854, 2604, 1395, 2939, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110895, 2611, 1358, 2901, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110936, 2682, 1346, 2884, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
110976, 2619, 1308, 2907, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111017, 2678, 1276, 2918, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111057, 2660, 1376, 2847, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111098, 2759, 1270, 2872, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111139, 2663, 1244, 2907, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111179, 2745, 1292, 2780, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111220, 2804, 1202, 2853, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111261, 2797, 1306, 2801, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111301, 2934, 1130, 2804, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111342, 2876, 1286, 2750, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111383, 2880, 1319, 2769, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111423, 2873, 1151, 2764, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111464, 2926, 1350, 2777, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111505, 3236, 1389, 3005, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111546, 4285, 1770, 2763, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111582, 5344, 743, 4458, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111619, 4742, 1357, 1531, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111655, 4714, -465, 1299, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111692, 4975, -46, -1475, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111729, 4446, 408, -795, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111765, 3355, 287, -1025, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111802, 4034, -99, -1077, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111839, 3076, 505, -536, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111875, 3527, 449, -216, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111912, 3619, 122, -426, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111949, 5423, 1598, 11373, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
111987, 3856, 880, 902, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112026, 2946, 517, 317, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112064, 2964, 1246, 702, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112103, 2794, 1822, 861, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
