480544, 3381, 1593, 1775, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480585, 3301, 1687, 1853, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480625, 3311, 1695, 1886, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480666, 3015, 1858, 2014, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480706, 3162, 1885, 2039, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480747, 2975, 1916, 2197, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480787, 2900, 1961, 2352, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480828, 2836, 1813, 2387, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480868, 2819, 1856, 2393, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480909, 2850, 1871, 2394, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480949, 2800, 1857, 2444, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
480990, 2743, 1907, 2497, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481031, 2808, 1789, 2463, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481072, 2770, 1902, 2436, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481113, 2792, 1872, 2420, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481154, 2812, 1838, 2500, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481195, 2713, 1840, 2537, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481236, 2725, 1707, 2491, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481277, 2764, 1887, 2612, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481318, 2800, 1804, 2607, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481359, 2834, 1933, 2651, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481400, 2866, 1543, 2782, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481441, 3189, 1864, 3105, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481482, 3197, 1775, 3204, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481523, 4119, 1342, 3182, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481564, 4947, 1332, 2576, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481605, 4916, 1220, 2254, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481646, 4454, 803, 2126, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481687, 3958, 547, 1331, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481728, 3671, -26, 1182, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481769, 3020, -84, 990, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481803, 2667, 154, 639, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481837, 2323, 228, 652, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481871, 1981, 6088, 6561, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481905, 3094, -2108, 4751, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481939, 654, 514, 2365, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
481973, 1134, 1520, 2461, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482007, 1860, 1176, 4656, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482041, 1498, 1526, 3772, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482075, 1384, 1578, 2893, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482109, 1448, 1524, 3094, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482149, 1236, 1178, 3988, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482190, 942, 1507, 3960, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482231, 857, 1342, 3958, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482272, 679, 1568, 4061, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482313, 551, 1853, 3924, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482354, 1316, 2009, 3209, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482395, 1540, 1515, 3328, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482436, 1787, 1787, 3246, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482477, 1721, 1892, 3275, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482518, 1998, 2068, 3400, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482559, 1665, 1643, 3316, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482594, 1856, 2096, 3466, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482630, 1494, 1649, 3385, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482666, 1596, 1882, 3480, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482702, 1484, 1537, 3580, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482738, 1393, 1574, 3648, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482774, 1256, 1714, 3574, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482810, 1100, 1630, 3701, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482846, 932, 1358, 3370, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482882, 890, 1317, 3819, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482918, 1134, 1447, 3605, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482958, 902, 1569, 3015, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
482998, 751, -951, 1855, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483039, 1789, 1794, 1114, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483079, 3697, 521, 2471, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483120, 4455, 1172, 2724, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483160, 4905, 1444, 1779, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483200, 4884, 454, 894, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483241, 4659, 967, -1449, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
