57152, 3148, 1870, 1596, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57193, 2846, 2350, 2054, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57234, 2846, 2033, 2175, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57275, 2786, 2267, 2122, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57316, 2700, 2118, 2330, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57357, 2610, 2178, 2282, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57398, 2706, 2006, 2291, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57439, 2501, 2312, 2357, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57480, 2642, 2169, 2388, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57513, 2671, 2185, 2333, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57546, 2751, 1899, 2518, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57580, 2747, 2276, 2299, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57613, 2939, 2092, 2347, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57646, 3173, 1999, 2398, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57680, 3751, 1943, 2609, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57713, 4268, 1566, 3073, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57746, 4783, 1249, 3444, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
