52795, 2312, 2246, 2630, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
52838, 2303, 2253, 2688, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
52874, 2301, 2220, 2713, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
52910, 2250, 2220, 2703, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
52946, 2264, 2252, 2715, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
52983, 2287, 2302, 2744, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53019, 2287, 2229, 2790, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53055, 2217, 2295, 2748, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53092, 2162, 2145, 2752, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53128, 2245, 2279, 2796, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53164, 2278, 2160, 2887, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53201, 2285, 2021, 2961, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53239, 2136, 2338, 2856, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53278, 2316, 2179, 3211, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53317, 2267, 2093, 3079, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53356, 2469, 2204, 2788, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53395, 2476, 2065, 3049, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
