116328, 2765, 828, 2982, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116370, 2659, 939, 3073, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116412, 2542, 1005, 3138, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116454, 2394, 1093, 3210, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116491, 2377, 1031, 3269, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116529, 2268, 1069, 3322, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116566, 2201, 1018, 3347, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116604, 2155, 1017, 3408, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116641, 2128, 1058, 3397, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116679, 2019, 993, 3498, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116716, 1979, 896, 3504, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116754, 1996, 778, 3600, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116791, 1940, 1006, 3629, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116829, 1932, 665, 3687, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116865, 1939, 775, 3700, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116902, 1941, 707, 3680, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116939, 2245, 909, 3640, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
116976, 2730, 687, 3965, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117013, 3073, 1154, 3730, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117050, 3910, 805, 3168, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117087, 4655, 1028, 3879, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117124, 4354, 1026, 2388, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117161, 3700, 182, 2062, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117198, 3444, -312, 2746, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117235, 3452, -1245, 2195, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117275, 2871, -403, 1790, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117316, 2942, 639, 2461, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117356, 2347, 1159, 3201, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117397, 3001, 1378, 2622, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117437, 2107, 749, 2241, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117478, 1717, 842, 2942, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117518, 1658, 1409, 2713, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117559, 1540, 1284, 3372, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117599, 1355, 997, 3563, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117640, 1073, 688, 3642, 85, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117675, 530, 687, 3657, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117711, 286, 519, 4099, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117747, 120, 500, 4269, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117783, 1143, 982, 4107, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117819, 1217, 982, 3674, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117854, 1229, 877, 3951, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117890, 764, 803, 3954, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117926, 711, 776, 3853, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117962, 779, 946, 3697, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
117998, 792, 1313, 3696, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118034, 893, 1383, 3705, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118075, 655, 1133, 3387, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118117, 764, 1161, 3020, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118159, 1246, 446, 2898, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118200, 1922, 676, 2505, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118242, 2738, 392, 2650, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118284, 3882, -296, 2510, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118325, 3164, 60, 1498, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118367, 4396, 493, 779, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118409, 5870, 994, 1385, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118451, 10206, 2325, 1530, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118489, 5098, -154, -1834, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118528, 4823, -2164, 3402, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118567, 3057, 1019, 2420, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118606, 3791, -606, 2156, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118645, 3452, -322, 2128, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118684, 3735, -172, 1970, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118723, 3778, 17, 1791, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118762, 3800, -99, 1696, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118801, 3756, 113, 1696, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118840, 3781, -56, 1725, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118876, 3855, 148, 1571, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118912, 3919, -10, 1405, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118948, 3922, -491, 1470, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
118985, 3911, 10, 1329, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119021, 3943, -14, 1331, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119057, 3912, 21, 1438, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119093, 3873, 229, 1441, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119130, 3872, 257, 1463, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119166, 3913, 181, 1468, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119202, 3928, 168, 1486, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
