110135, 3379, 1976, 1190, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110170, 3214, 2259, 1427, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110205, 3242, 2115, 1429, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110240, 3094, 2221, 1602, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110275, 3093, 2178, 1662, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110310, 3043, 2258, 1779, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110345, 3041, 2100, 1878, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110381, 2970, 2234, 1947, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110421, 2747, 2196, 2106, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110461, 2941, 2048, 2146, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110501, 2853, 2076, 2072, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110542, 2882, 2118, 2139, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110582, 2913, 2035, 2061, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110622, 2959, 2020, 2187, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110663, 2928, 1925, 2102, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110703, 2946, 1952, 2253, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110743, 2937, 1589, 2613, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110784, 2892, 2211, 3094, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110822, 3930, 1865, 3046, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110861, 6141, 1146, 5792, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110899, 4346, 1559, 1567, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110938, 6088, 1685, -326, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
110977, 5405, 521, 825, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111015, 4245, -198, 419, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111054, 3047, -647, 126, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111093, 3239, -566, 145, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111131, 2995, -411, 623, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111170, 2780, -115, 700, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111209, 2471, -139, 383, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111246, 2374, -40, 241, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111283, 1284, 4363, 5863, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111320, 4841, 492, 8031, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111357, 768, 784, 1879, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111394, 1649, 767, 2396, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111431, 1572, 1724, 2883, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111468, 1480, 1649, 3478, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111505, 1641, 1381, 4894, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111542, 1361, 1514, 4631, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111579, 1102, 1913, 3899, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111619, 1549, 2391, 2549, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111659, 2340, 2154, 2391, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111700, 2886, 1836, 2787, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111740, 2834, 1547, 3175, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111781, 2403, 1851, 2950, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111821, 2152, 1850, 3046, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111861, 1906, 1763, 3131, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111902, 1926, 1505, 3597, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111942, 1833, 1297, 3828, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
111983, 1517, 878, 4249, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112021, 1082, 1179, 4546, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112060, 584, 820, 4137, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112098, 1057, 1572, 3350, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112137, 1493, 1344, 1870, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112176, 2863, 1890, 258, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112214, 3947, 1289, 83, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112253, 4485, 841, 1102, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112292, 4985, 1125, 1320, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112330, 5355, 715, 1042, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112369, 4794, 393, 493, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112408, 4600, 205, -316, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112445, 3982, -59, -1107, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112482, 4080, -64, -975, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112519, 4799, -692, 971, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112556, 5371, -1370, 2338, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112593, 6315, 1484, 364, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112630, 3565, 916, -448, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112667, 4202, 459, 437, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112704, 4219, -90, 264, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112741, 4148, 307, -29, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112779, 4146, 233, -35, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112817, 4126, 183, -172, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112855, 4104, 232, -222, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
