71199, 3836, 1067, 1154, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71232, 3833, 1068, 1188, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71265, 3826, 952, 1218, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71298, 3876, 922, 1256, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71331, 3819, 995, 1291, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71364, 3847, 937, 1313, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71397, 3803, 980, 1378, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71431, 3700, 1046, 1455, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71473, 3665, 1070, 1663, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71515, 3623, 994, 1641, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71557, 3625, 941, 1874, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71599, 3642, 736, 1922, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71642, 3448, 1115, 1988, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71684, 3491, 1056, 2069, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71726, 3443, 1206, 2073, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
