295730, 3020, 1141, 2635, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
295771, 2977, 1078, 2627, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
295812, 3022, 1076, 2731, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
295853, 2919, 1093, 2618, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
295894, 2946, 1041, 2869, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
295935, 2824, 942, 2941, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
295976, 2783, 884, 2976, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296017, 2659, 1045, 3022, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296061, 2651, 985, 3037, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296105, 2466, 1128, 3108, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296149, 2375, 1194, 3202, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296193, 2347, 1233, 3209, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296237, 2333, 1146, 3190, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296282, 2295, 1081, 3240, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296326, 2381, 1041, 3248, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296370, 2190, 1258, 3328, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296414, 2327, 1053, 3281, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296458, 2386, 1121, 3241, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296503, 2331, 1198, 3225, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296533, 2523, 939, 3243, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296564, 2708, 932, 3212, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296594, 2949, 750, 3296, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296625, 3552, 423, 3219, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296656, 4143, 1442, 4451, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296686, 4492, 456, 4551, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296717, 4556, 692, 1010, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296747, 4485, 789, -171, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296778, 4186, 535, 40, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296809, 3962, -59, 418, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296854, 3932, 30, 888, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296899, 3808, -234, 760, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296944, 3474, -386, 1249, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
296989, 3124, -846, 1383, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297034, 3378, -564, 492, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297079, 8837, -2738, 8393, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297124, 1790, -1094, 1333, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297169, 3309, 1773, 745, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297214, 4232, 1021, 2233, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297259, 3309, 864, 1346, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297290, 3477, 522, 1915, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297321, 3225, 747, 1997, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297352, 2929, 717, 1854, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297384, 2786, 531, 1904, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297415, 2804, 171, 2043, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297446, 2997, -10, 2183, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297477, 3591, 777, 2278, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297509, 4058, 1858, 2735, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297540, 4303, 1411, 4387, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297571, 3250, 979, 3344, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297603, 2280, 674, 2006, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297643, 1877, 815, 1690, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297684, 2332, 1534, 2654, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
