191332, 2334, 2251, 2547, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191368, 2344, 2180, 2501, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191405, 2332, 2230, 2501, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191442, 2421, 2172, 2515, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191478, 2333, 2399, 2614, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191515, 2341, 2397, 2385, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191552, 2429, 2352, 2480, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191589, 2374, 2336, 2445, 79, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191627, 2374, 2288, 2525, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191666, 2355, 2316, 2567, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191705, 2383, 2278, 2508, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191744, 2412, 2262, 2492, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191783, 2403, 2308, 2525, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191822, 2419, 2324, 2533, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191861, 2331, 2364, 2523, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191900, 2379, 2333, 2612, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191939, 2358, 2420, 2530, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
191978, 2336, 2444, 2636, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192017, 2410, 2542, 2737, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192052, 2424, 2637, 2768, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192087, 2375, 2661, 2884, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192122, 2241, 2396, 2486, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192157, 2441, 2762, 2470, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192192, 2534, 2442, 2557, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192227, 2645, 2565, 2925, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192262, 2922, 2136, 2908, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192297, 2549, 1784, 2689, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192332, 4029, 1898, 3213, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192368, 3997, 2190, 2804, 77, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192407, 4231, 1796, 2266, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192447, 2782, 729, 2281, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192487, 2340, 978, 1973, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192526, -1572, 6067, 5634, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192566, 1787, -361, 1823, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192606, 243, 2005, 2566, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192646, 692, 2175, 3081, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192685, 1136, 1738, 3680, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192725, 943, 1524, 2980, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192765, 1206, 1837, 3258, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192805, 1327, 2643, 3206, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192842, 1321, 2532, 3111, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
192880, 1400, 2353, 3106, 76, f00b33ad-d223-4aab-8565-3f3fc26a2467, , transisi, transisi_sujud_ke_bersedekap, , 
