233537, 2704, 2651, 1721, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233574, 2627, 2577, 1722, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233614, 2454, 2712, 1757, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233655, 2376, 2699, 1910, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233696, 2362, 2730, 2136, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233736, 1849, 2777, 2356, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233777, 1985, 2820, 2373, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233818, 1864, 2633, 2558, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233858, 1588, 2880, 2492, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233899, 1551, 2792, 2646, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233940, 1566, 2712, 2718, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
233981, 1225, 2989, 2641, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234019, 1214, 2780, 2894, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234058, 1134, 2844, 2922, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234097, 1092, 2692, 3080, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234136, 1026, 2618, 3163, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234175, 872, 2959, 3315, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234213, 1087, 2911, 3518, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234252, 1477, 2356, 3258, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234291, 2274, 2119, 3574, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234330, 4069, 2863, 3866, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234369, 4751, 2195, 2618, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234406, 5069, 1418, 2374, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234443, 4740, 677, 1974, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234480, 3340, 895, 1251, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234517, 3159, 50, 805, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234554, 2355, 257, 924, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234591, 2450, 453, 811, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234628, 3181, 568, 5514, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234665, 3516, -262, 2502, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234702, 1505, 2478, 4373, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234739, 1946, 1716, 2034, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234776, 1594, 1515, 2458, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234814, 1576, 2426, 3714, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234853, 975, 1788, 3237, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234892, 528, 2332, 2979, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234931, 488, 2091, 3437, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
234970, 222, 2501, 3606, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235009, 284, 2894, 4022, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235048, -87, 3067, 3994, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235087, 683, 2703, 3307, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235126, 1236, 2168, 3167, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235165, 1429, 2039, 3383, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235202, 1397, 2197, 3391, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235239, 940, 2198, 3495, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235276, 794, 2804, 3291, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235313, 384, 1838, 3331, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235350, 274, 1853, 3436, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235387, 317, 2136, 3320, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235424, 492, 2758, 2056, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235461, 52, -599, -978, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235498, 3693, 2373, 1603, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235535, 5064, 1749, 4015, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235572, 4994, 889, 185, 91, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235612, 5436, 1679, 339, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235652, 4595, 847, 645, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235692, 5064, 468, -3, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235733, 7829, 171, 450, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235773, 2652, 760, 1641, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235813, 4132, 1336, 1298, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235854, 3610, 1151, 25, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235894, 4036, 1026, 863, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235934, 4067, 528, 778, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
235975, 4076, 800, 520, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236013, 4138, 463, 489, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236052, 4066, 724, 271, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236091, 4083, 541, 257, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236130, 4118, 785, 146, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236169, 4076, 673, 144, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236208, 4112, 771, 32, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236247, 4102, 708, 54, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236286, 4110, 706, 29, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236325, 4089, 824, -1, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236364, 4115, 682, 60, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
