80259, 3117, 2475, 1084, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80302, 3078, 2426, 1060, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80346, 3077, 2506, 1217, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80389, 2914, 2607, 1324, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80432, 2747, 2646, 1372, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80476, 2680, 2653, 1524, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80511, 2368, 3007, 1596, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80546, 2122, 3154, 1774, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80581, 2309, 3071, 1902, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80617, 2190, 2981, 2012, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80652, 2024, 3081, 2005, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80687, 2026, 3135, 1943, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80723, 2014, 3116, 2074, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80758, 1986, 3154, 2059, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80793, 1984, 3096, 2201, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80829, 2191, 2980, 2385, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80865, 2601, 2540, 2482, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80901, 2383, 2492, 2521, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80937, 2762, 2447, 2489, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
80973, 4670, 2406, 2338, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81009, 4982, 1501, 2295, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81046, 5164, 1242, 2462, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81082, 4644, 1287, 1713, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81118, 3873, 702, 1482, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81154, 3451, -697, 1575, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81190, 3121, 513, 916, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81227, 2725, 604, 436, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81267, 2387, 527, 671, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81308, 1007, 5757, 4026, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81348, 2292, -798, 4834, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81389, 1703, 2310, 2532, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81429, 930, 2656, 1245, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81470, 1205, 2195, 2965, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81510, 872, 2774, 3627, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
81551, 542, 2802, 3177, 54, ccde3485-4d39-4259-bff9-94cdcf652b38, , transisi, transisi_sujud_ke_bersedekap, , 
