67543, 2663, 2629, 1776, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67580, 2762, 2392, 1840, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67617, 2582, 2550, 1936, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67654, 2607, 2375, 2048, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67691, 2454, 2508, 2331, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67728, 2213, 2439, 2426, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67765, 2219, 2349, 2643, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67802, 2028, 2412, 2643, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67839, 1891, 2409, 2745, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67876, 1732, 2420, 2860, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67915, 1700, 2411, 2970, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67954, 1615, 2407, 3017, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
67993, 1568, 2380, 3049, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68032, 1484, 2313, 3065, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68072, 1619, 2040, 3281, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68111, 1532, 2256, 3183, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68150, 1518, 2055, 3485, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68189, 1869, 2471, 3517, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68228, 2904, 2124, 3283, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68268, 3770, 962, 3398, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68310, 6471, 1794, 2818, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68352, 6696, 1119, 2445, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68394, 4652, 1382, 1295, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68436, 3380, 18, 625, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68478, 3087, 19, 878, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68520, 2527, 1131, 646, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68562, 2567, 378, 492, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68604, 2138, -152, 67, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68646, 3981, -2404, 1448, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68688, -127, 2919, 5083, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68726, 1441, 917, 2670, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68764, 1878, 1861, 3593, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68802, 1793, 2249, 3366, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68840, 1933, 2184, 2753, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68878, 2328, 2464, 2547, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68917, 2167, 1820, 2295, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68955, 1638, 1908, 2527, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
68993, 1621, 1622, 3274, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69031, 839, 2021, 3288, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69069, 468, 1953, 3930, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69108, -34, 2138, 4856, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69141, 742, 2196, 5100, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69175, 1253, 2223, 3784, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69209, 1887, 2078, 3024, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69242, 1752, 1506, 3345, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69276, 1657, 1533, 3317, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69310, 1602, 2067, 3525, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69343, 1079, 1151, 3033, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69377, 1317, 1878, 3465, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69411, 837, 1528, 3570, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69445, 997, 1285, 3710, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69481, 1296, 2098, 3378, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69518, -483, -691, -641, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69555, 3064, 3015, 992, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69592, 4110, 1077, 2388, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69629, 5024, 640, 2514, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69666, 5263, 978, 2412, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69703, 5981, 507, 513, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69740, 5445, 750, 2353, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69777, 4928, 632, 932, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69814, 4546, 766, -283, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69851, 4881, 1482, -347, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69893, 4677, 1284, -251, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69936, 3575, 820, 1222, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
69978, 3972, 818, 1169, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70021, 4032, 877, 1014, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70064, 4134, 851, 1177, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70106, 4085, 742, 639, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70149, 4032, 741, 475, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70191, 4127, 696, 346, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70234, 4139, 754, 190, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70277, 4165, 567, 64, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70316, 4149, 589, -30, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70356, 4134, 588, 55, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70395, 4051, 624, -47, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70435, 4072, 762, -20, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70474, 4045, 799, -82, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70514, 4021, 940, -146, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70553, 4151, 604, -79, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70593, 4104, 475, -40, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70632, 4210, 552, -138, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70672, 4092, 587, -29, 92, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70708, 4072, 748, -62, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70744, 4147, 654, 39, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70780, 4080, 726, 39, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70817, 4079, 680, 124, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70853, 4096, 717, 205, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70889, 4092, 638, 316, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70925, 4101, 697, 431, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70962, 4037, 784, 722, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
70998, 4203, 480, 896, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71034, 4729, 422, 646, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71071, 5041, 1333, 1881, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71111, 6351, 617, 2971, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71152, 5490, -617, 1895, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71192, 3694, 1817, -2682, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71233, 4137, 1414, -300, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71273, 3815, 1116, 388, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71314, 4474, 1306, 170, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71354, 4891, 628, 706, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71395, 4698, 1255, 1203, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71435, 4253, 1547, 1333, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71476, 3565, 1490, 1412, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71515, 5467, 5224, 12137, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71554, 1087, 380, 1744, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71593, -369, 1979, -500, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71632, 25, 662, 1896, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71671, 44, 1883, 4536, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71710, 271, 2013, 3726, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71749, 693, 1991, 2721, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71788, 2275, 2880, 3316, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71827, 2994, 4192, 4230, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71866, 2338, 2869, 3116, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71905, 1854, 2638, 2680, 93, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71941, 1733, 1591, 2577, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
71978, 2156, 1472, 2820, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72014, 2578, 1435, 2577, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72051, 3305, 2383, 2093, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72087, 2892, 3048, 1699, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72124, 2705, 3671, 1998, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72160, 2369, 2368, 2542, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72197, 2022, 1789, 2549, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72233, 2467, 2692, 2209, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72270, 3301, 3296, 1295, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
