112302, -1421, 1734, -3312, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112336, -1405, 1711, -3275, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112371, -1453, 1614, -3098, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112406, -1250, 1576, -3296, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112447, -1431, 1844, -3286, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112489, -1308, 1509, -2390, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112531, -1325, 1380, -1710, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112573, -864, 1206, -998, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112615, -494, 1613, -652, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112656, 475, 1755, -1094, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112698, 768, 2402, -2242, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112740, 2476, 2976, -1916, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112782, 2335, 2858, -2243, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112824, 4789, 2115, -1706, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112862, 6899, 2933, -1570, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112900, 8156, 2661, -1694, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112938, 7665, 3407, -1818, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
112977, 3870, 3122, -1102, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113015, 3650, 1379, -284, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113053, 3629, 1913, -785, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113092, 4402, 2592, -1362, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113130, 4331, 1603, -826, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113168, 3180, 1541, -373, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113207, 2605, 1472, -469, 67, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113243, 3688, 1672, -459, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113279, 4024, 1661, -828, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113315, 4472, 1306, -1131, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113351, 4016, 1316, -1320, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113387, 4725, 1454, 817, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113423, 3624, -2170, 1786, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113459, 3666, 336, -470, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113495, 4143, -30, -954, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113531, 4572, -402, -622, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113567, 4231, -113, -438, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113603, 4009, 330, -543, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113644, 3822, 846, -543, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113686, 3947, 1005, -379, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113728, 4121, 1035, -465, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113769, 4083, 862, -494, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
113811, 4056, 592, -332, 68, 9a8f9500-90c3-4f3e-88d4-06e7043f9ae2, , transisi, transisi_qunut_ke_berdiri, , 
