248429, -1733, 2091, -2939, 101, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248465, -1704, 2276, -2842, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248502, -1707, 2377, -2511, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248538, -1684, 2342, -1914, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248575, -1457, 2057, -1858, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248611, -1078, 1822, -1353, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248648, -609, 1765, -1204, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248684, -68, 1172, -1675, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248721, 286, 1226, -1183, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248757, 1210, 2055, -1552, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248794, 3735, 2501, -2088, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248831, 3239, 3060, -2419, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248868, 4980, 2806, -2386, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248905, 7649, 4063, -2450, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248943, 7974, 3579, -2318, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
248980, 5570, 1610, -1471, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249017, 3324, 983, -941, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249054, 4192, 1658, -402, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249092, 4903, 2633, -1199, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249129, 4591, 2371, -1430, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249166, 3289, 1574, -892, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249204, 2804, 1805, -964, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249245, 3225, 1825, -1107, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249286, 4096, 1243, -1900, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249327, 3592, 2732, -1500, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249368, 3594, 1942, -1516, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249409, 5284, 4268, 619, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249450, 5128, -3267, 1476, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249491, 3834, -792, -712, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249532, 3860, -147, -871, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249573, 3880, -981, -600, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249615, 4504, -1236, 316, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249654, 4285, 38, -286, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249693, 4031, 1019, -678, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249732, 3960, 991, -466, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249771, 4055, 649, -377, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
249811, 4102, 383, -396, 100, 4c47eb36-4371-4e8d-bd1a-22abec60490b, , transisi, transisi_qunut_ke_berdiri, , 
