126391, -1985, 2329, -2638, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126426, -1979, 2366, -2679, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126461, -1924, 2346, -2591, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126496, -1929, 2351, -2592, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126531, -1845, 2288, -2449, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126566, -1769, 2130, -2132, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126601, -1620, 2181, -2112, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126640, -1383, 2142, -1757, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126679, -1134, 1902, -1498, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126718, -570, 2015, -1481, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126757, -225, 2094, -1432, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126796, 265, 2171, -1736, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126835, 1122, 2983, -1726, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126874, 1922, 2912, -2526, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126913, 3690, 4144, -2620, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126952, 3434, 2551, -1963, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
126991, 4677, 3546, -2092, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127027, 5018, 1839, -548, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127064, 5489, 2595, -328, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127101, 5777, 1877, 3501, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127138, 4458, 6813, 241, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127175, 3891, 2731, -625, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127212, 3608, -62, 102, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
127249, 2873, 1169, -105, 86, 185594f4-0743-456f-9fd7-07b0b41afdfb, , transisi, transisi_qunut_ke_berdiri, , 
