216812, -974, 1616, -3755, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
216851, -930, 1521, -3664, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
216890, -1007, 1650, -3755, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
216929, -992, 1563, -3717, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
216968, -1165, 1562, -3627, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217007, -1111, 1502, -3699, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217046, -1181, 1363, -3643, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217085, -1235, 1298, -3498, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217124, -1291, 1445, -3567, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217163, -1287, 1436, -3578, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217203, -1255, 1308, -3506, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217238, -1328, 1240, -3540, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217273, -1364, 1357, -3432, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217309, -1383, 1423, -3551, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217344, -1388, 1258, -3566, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217379, -1397, 1268, -3545, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
