181556, -1824, 1113, -3328, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181591, -1781, 1155, -3526, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181627, -1732, 1175, -3340, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181662, -1749, 1157, -3444, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181698, -1657, 1273, -3698, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181733, -1672, 1239, -3398, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181769, -1666, 1241, -3558, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181805, -1587, 1114, -3699, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181840, -1601, 1219, -3581, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181876, -1627, 1139, -3404, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181912, -1756, 1168, -2927, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181947, -1318, 1332, -2923, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
181983, -1052, 1003, -3273, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182019, -1095, 1310, -2955, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182059, -767, 1631, -4019, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182099, -422, 1199, -3401, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182139, -518, 1482, -3185, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182180, -236, 1318, -4376, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182220, 229, 1234, -4731, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182260, 15, 1524, -4245, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182301, -369, 1271, -3652, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182341, -653, 1579, -2631, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182381, 196, 1336, -2487, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182422, 451, 1724, -2145, 86, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182458, 896, 1134, -2750, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182495, 1795, 2381, -2683, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182532, 2164, 2145, -2224, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182569, 2772, 2362, -2098, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182606, 3790, 2501, -1905, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182643, 5458, 2656, -1624, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182680, 5575, 2592, -1663, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182717, 6186, 1829, -779, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182754, 4323, 2118, -339, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182791, 4391, 1329, -401, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182828, 4087, 1877, -559, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182869, 4098, 1927, -776, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182910, 4201, 2000, -761, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182951, 3506, 1925, -880, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
182993, 3157, 1871, -554, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183034, 3327, 1995, -418, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183075, 3787, 1921, -751, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183117, 4135, 1581, -970, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183158, 3904, 1349, -1220, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183199, 4713, 3598, -1466, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183241, 6086, -2486, 5976, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183279, 4712, -493, 143, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183317, 3955, 611, -925, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183355, 4105, 110, -752, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183394, 4191, -358, -530, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183432, 4498, -566, -234, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183470, 4235, 166, -487, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183509, 3932, 667, -539, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183547, 3817, 820, -589, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183585, 3867, 1316, -670, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
183624, 3947, 1274, -369, 85, 8a8df11d-13bb-47a0-b089-0995ac1bb4fc, , transisi, transisi_qunut_ke_berdiri, , 
