29405, -1785, 1923, -3158, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29445, -1767, 1915, -3146, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29484, -1767, 1886, -3110, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29524, -1755, 1884, -3016, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29563, -1831, 1878, -2921, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29603, -1773, 1820, -2705, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29641, -1772, 1738, -1984, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29679, -1528, 1615, -1643, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29717, -1185, 1778, -1308, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29756, -789, 1845, -985, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29794, -183, 1729, -1224, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29832, 121, 2459, -1343, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29870, 831, 1929, -1782, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29909, 3165, 2942, -1724, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29947, 3574, 1835, -1564, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
29985, 5513, 2653, -1610, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30024, 8632, 3126, -1709, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30065, 8346, 3297, -1389, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30107, 4896, 1866, -1130, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30149, 3302, 275, -96, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30191, 4662, 892, -228, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30233, 5451, 2331, -1348, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30274, 4597, 1990, -1074, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30316, 3214, 1808, -626, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30358, 2707, 1578, -691, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30400, 3422, 2042, -1238, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30442, 4176, 2332, -1385, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30477, 4061, 2072, -1078, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30512, 3620, 1522, -1333, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
