288804, -3364, 1093, -1995, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
288842, -3366, 1086, -1971, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
288881, -3387, 1147, -1826, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
288921, -3364, 947, -1703, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
288960, -3211, 872, -1525, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289000, -3069, 1136, -1166, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289040, -2776, 1024, -1035, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289079, -2325, 1183, -1189, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289119, -1602, 1415, -1141, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289159, -984, 1518, -1146, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289198, -838, 1727, -1320, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289238, -6, 2058, -1665, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289278, 525, 2657, -1691, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289313, 1076, 2774, -2520, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289349, 2799, 3002, -2286, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289384, 3418, 3597, -2724, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289420, 4337, 3606, -2045, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289455, 5407, 3608, -1809, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289491, 6803, 3450, -1816, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289526, 6848, 2808, -1768, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289562, 5446, 2747, -1364, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289597, 4769, 2154, -1306, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289633, 4134, 2374, -1081, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289668, 4161, 2240, -1073, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289704, 3713, 2156, -1070, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289740, 3282, 2082, -970, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289775, 3029, 1874, -742, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289811, 3196, 2213, -910, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289847, 3641, 2035, -1324, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289883, 3931, 1577, -1575, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289918, 3994, 1390, -1593, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289954, 4653, 963, -898, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
289990, 5476, -9431, 5835, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290026, 3896, -906, -308, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290073, 3256, 28, -1540, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290120, 4597, -1627, 161, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290167, 4393, -1423, 36, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290214, 4356, -145, -494, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290261, 3954, 1225, -905, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290308, 3818, 1100, -613, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290355, 3850, 1211, -713, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
290402, 3965, 1282, -904, 92, e4686edf-38d3-4011-8ea4-1f6df1513c84, , transisi, transisi_qunut_ke_berdiri, , 
