317093, -2798, 1959, -2274, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317126, -2944, 2026, -2241, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317159, -2802, 2095, -2379, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317193, -2659, 2113, -2404, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317234, -2668, 2061, -2311, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317275, -2641, 2060, -2163, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317316, -2627, 2041, -2061, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317357, -2670, 2009, -2009, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317398, -2688, 2015, -1858, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317439, -2732, 2079, -1660, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317480, -2805, 2102, -1482, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317521, -2680, 2133, -1185, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317562, -2507, 2329, -601, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317603, -1962, 1865, -667, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317645, -1302, 1715, -861, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317682, -411, 1765, -1158, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317720, 508, 1861, -1705, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317757, 998, 1402, -2774, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317795, 4614, 2333, -2171, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317832, 1879, 3300, -2077, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317870, 4589, 2376, -2255, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317907, 5757, 2555, -2008, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317945, 6208, 2959, -1094, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
317982, 6119, 2811, -491, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318020, 6108, 2042, -800, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318057, 5991, 2804, -450, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318094, 6109, 3029, -1369, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318131, 5183, 2321, -951, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318168, 4355, 2523, -997, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318206, 4027, 2289, -934, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318243, 3641, 2572, -1244, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318280, 3336, 2620, -1431, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318317, 3356, 2305, -1459, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318354, 3613, 1534, -1071, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318392, 3854, 1664, -1062, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318430, 5562, -2379, 3101, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318468, 4301, -3968, 1151, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318506, 2685, -955, -1323, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318544, 4141, -2346, 418, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318582, 4082, -1587, 251, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318621, 3910, -568, -679, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318659, 4349, -355, -642, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318697, 4161, 349, -385, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318735, 3978, 423, -185, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318773, 4101, 109, -113, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
318812, 4207, -284, 33, 98, 833ec203-8e06-4f6e-9cfd-27e960a596e0, , transisi, transisi_qunut_ke_berdiri, , 
