138561, -2256, 2024, -2531, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138600, -2178, 1995, -2447, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138639, -2136, 1827, -2259, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138678, -2052, 1728, -2086, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138717, -1776, 1590, -1761, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138756, -1516, 1668, -1457, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138796, -1163, 1666, -1287, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138832, -811, 2061, -1239, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138868, -145, 2150, -1667, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138905, 564, 2948, -1585, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138941, 1015, 3174, -1951, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
138978, 2095, 5204, -1748, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139014, 3076, 3928, -1198, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139051, 5269, 3848, -736, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139087, 5770, 3159, 86, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139124, 5734, 2097, 1702, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139160, 6027, 700, 5216, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139197, 3830, 3987, 153, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139235, 3250, 1894, -230, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
139274, 3198, 1461, -110, 85, 4b773e98-3545-4f94-a54d-4e8875bb02d7, , transisi, transisi_qunut_ke_berdiri, , 
