142248, 2182, 2339, 2539, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142290, 2187, 2325, 2623, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142326, 2179, 2427, 2576, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142362, 2126, 2440, 2586, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142399, 2059, 2515, 2657, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142435, 2027, 2482, 2674, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142472, 2006, 2432, 2574, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142508, 1914, 2634, 2573, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142544, 1693, 2582, 2646, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142581, 1769, 2297, 3000, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142617, 1523, 2268, 2997, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142654, 1402, 2229, 3243, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142691, 1341, 2063, 3444, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142729, 1309, 2103, 3258, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142767, 1253, 2371, 3063, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142805, 1359, 2439, 3306, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142843, 433, 1250, 2294, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142881, 141, 614, 1161, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142919, 698, 46, 477, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142957, 3365, 1286, 2790, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
142995, 5397, 1309, 4435, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143033, 5035, 2565, 4637, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143071, 4372, 992, 2883, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143116, 4595, 830, 1489, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143161, 4191, 290, 858, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143206, 4087, 1245, -55, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143252, 4488, 302, -545, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143297, 7193, 1809, 1067, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143342, 2786, 838, 1796, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143388, 4014, 1167, 1203, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143433, 3996, 548, 1245, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143478, 3947, 845, 945, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143524, 4026, 736, 870, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143555, 3948, 773, 645, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143586, 4059, 563, 520, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143618, 4048, 764, 320, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143649, 4141, 670, 266, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143680, 4090, 656, 135, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143712, 4129, 646, 15, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143743, 4084, 548, -102, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143774, 4091, 651, -156, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143806, 4059, 607, -162, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143837, 4122, 605, -60, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143869, 4158, 498, -257, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143909, 4101, 474, -226, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143949, 4104, 573, -204, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
143989, 4160, 588, -208, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144029, 4112, 436, -145, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
