155798, 2664, 2294, 2171, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
155833, 2659, 2078, 2277, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
155868, 2773, 2030, 2313, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
155904, 2690, 2101, 2307, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
155939, 2660, 2324, 2124, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
155974, 2617, 2080, 2098, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156010, 2801, 2343, 2141, 102, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156057, 2803, 2459, 1898, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156105, 2728, 2658, 1760, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156152, 2971, 2881, 2155, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156200, 2272, 2582, 1807, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156248, 2360, 2394, 1867, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156295, 2047, 2283, 1802, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156343, 2318, 2259, 1836, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156390, 2575, 2088, 1574, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
156438, 2585, 2172, 1275, 104, dd5a3d20-2a0f-4419-a9ef-9d434424cf2c, , transisi, transisi_duduk_ke_bersedekap, , 
