138952, 2352, 1934, 2842, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
138989, 2373, 2010, 2893, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139025, 2337, 2102, 2894, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139062, 2197, 2278, 2931, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139098, 2366, 1895, 2723, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139135, 2421, 1787, 2699, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139172, 2282, 1701, 2737, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139210, 2358, 1543, 2928, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139249, 2345, 1598, 2952, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139288, 2284, 1565, 2970, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139327, 2324, 1573, 2904, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139366, 2362, 1624, 2874, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139405, 2397, 1486, 2948, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139444, 2441, 1516, 2973, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139483, 2481, 1362, 2796, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139522, 2549, 1587, 2993, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139561, 2495, 1589, 2826, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139602, 2677, 1671, 2762, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139644, 2724, 1472, 2721, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139685, 2806, 1486, 2836, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139727, 2626, 2014, 2430, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139769, 2482, 2042, 2935, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139810, 2587, 1780, 2530, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139852, 2839, 1433, 2672, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139894, 2993, 1550, 2437, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139935, 3203, 1608, 2187, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
139977, 3434, 1609, 1817, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140019, 4215, 1075, 1689, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140056, 4043, 782, 1813, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140093, 4341, 375, 1668, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140131, 4127, 861, 1603, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140168, 4520, 1305, 961, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140206, 4206, 688, 1008, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140243, 4293, 495, 1380, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140280, 3967, 1189, 733, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140318, 4093, 810, 672, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140355, 3991, 780, 701, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140393, 3970, 654, 679, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140430, 3867, 616, 579, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140467, 3842, 649, 388, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140504, 3662, 572, 278, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
