206646, 3214, 1064, 2415, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206682, 3206, 1173, 2504, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206718, 3151, 1143, 2358, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206758, 3250, 939, 2327, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206798, 3138, 1005, 2498, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206838, 3128, 1018, 2300, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206878, 3084, 1030, 2360, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206919, 3138, 1055, 2559, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206959, 3138, 932, 2465, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
206999, 3108, 932, 2393, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207039, 3079, 947, 2524, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207079, 3103, 691, 2558, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207120, 3049, 597, 2553, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207158, 3176, 501, 2544, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207197, 2985, 617, 2341, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207235, 2941, 672, 2189, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207274, 2731, 471, 2127, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207312, 2544, 603, 1707, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207351, 3187, 160, 2176, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207389, 2447, 829, 2411, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207428, 3393, 101, 2350, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207466, 3345, 69, 2007, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207505, 3460, 37, 2006, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207545, 3715, -216, 1611, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207585, 4040, 333, 1485, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207626, 4255, 526, 948, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207666, 7862, -1940, 10308, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207707, 4628, 1224, 1479, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207747, 2590, 956, 3486, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207788, 2844, 1768, 2327, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207828, 4081, -100, 2331, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207869, 3378, 721, 2150, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
