220708, 1158, 1989, 3585, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220741, 786, 1668, 3623, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220774, 395, 1504, 3855, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220807, 522, 1542, 3778, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220841, 645, 1489, 3533, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220885, 805, 1591, 3539, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220930, 660, 1329, 3253, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
220975, 1139, 1293, 3185, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221020, 1408, 682, 3259, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221065, 1687, 434, 2987, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221109, 2205, 736, 2908, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221154, 2554, 518, 2881, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221199, 2433, -64, 2547, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221244, 2643, -338, 2431, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221289, 3342, 203, 2285, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221320, 3993, 102, 2123, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221352, 4522, 331, 1832, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221384, 5014, 249, 2329, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221416, 7034, -3958, 10213, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221448, 3995, -1806, 3613, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221480, 2702, 15, 3147, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221512, 2636, 826, 2876, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221544, 3557, -227, 2700, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221576, 3185, 249, 2708, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221608, 3278, -22, 2545, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221640, 3416, 85, 2365, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221680, 3483, 65, 2248, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221720, 3586, -16, 2164, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221760, 3614, 92, 2061, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221800, 3673, 137, 1988, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221840, 3658, 199, 1995, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221880, 3682, 232, 1922, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221920, 3737, 198, 1815, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
221960, 4697, -693, 1968, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222000, 3796, 225, 1826, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222040, 3599, 329, 1952, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222078, 3678, 453, 1911, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222116, 3669, 392, 1852, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222155, 3672, 294, 1884, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222193, 3679, 318, 1894, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222231, 3661, 282, 1968, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222270, 3634, 220, 1980, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222308, 3655, 295, 1980, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222346, 3634, 240, 2051, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222385, 3536, 361, 2110, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222423, 3566, 246, 2190, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222462, 3721, 270, 2126, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222499, 3796, 47, 2124, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222536, 3916, 216, 2249, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222573, 4198, 25, 2610, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222611, 4937, 407, 3394, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222648, 6107, -139, 4756, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222685, 5619, -572, 871, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222723, 4931, -235, -479, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222760, 4407, 743, -532, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222797, 3429, -236, -335, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222835, 3172, 282, 373, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222875, 1540, 866, -696, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
