180562, 1885, 2718, 2445, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180600, 1816, 2754, 2473, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180638, 1828, 2804, 2412, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180677, 1809, 2770, 2447, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180715, 1744, 2823, 2514, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180754, 1627, 2883, 2562, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180790, 1490, 2912, 2629, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180827, 1521, 2475, 2979, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180864, 1524, 2630, 2888, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180901, 1526, 2623, 2788, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180938, 1618, 2492, 2791, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
180974, 1594, 2478, 2833, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181011, 1605, 2480, 2737, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181048, 1651, 2540, 2913, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181085, 1681, 2801, 2708, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181122, 1468, 2122, 2371, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181159, 583, 1580, 1266, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181198, 1002, 1315, 1518, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181237, 2210, 994, 2941, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181276, 2619, 2420, 2490, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
