410087, 832, 2342, 3274, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410128, 309, 1947, 3392, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410169, 457, 2382, 3445, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410210, 459, 2331, 3347, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410251, 560, 2272, 3404, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410292, 448, 2150, 3323, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410333, 494, 2137, 3470, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410374, 538, 2175, 3486, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410415, 460, 2150, 3479, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410456, 323, 2098, 3403, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410497, 187, 2334, 3156, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410538, 90, 1777, 3365, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410572, -187, 623, 2885, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410607, -46, 485, 2179, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410642, 704, 851, 2238, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410677, 2158, 2033, 2346, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410712, 4723, 1108, 2863, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410747, 5044, 678, 2610, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410782, 6209, 3000, -6865, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410817, 6276, -1530, 2289, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410852, 5399, 1753, 2684, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410887, 2875, 301, 1838, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410927, 3735, 1653, 1408, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
410967, 4111, 320, 1518, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411007, 3972, 631, 1000, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411047, 4146, 552, 859, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411087, 4038, 865, 725, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411127, 4098, 689, 622, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411167, 4080, 656, 425, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411207, 4095, 592, 313, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411247, 4096, 686, 207, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411287, 4116, 595, 163, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411327, 4085, 656, 140, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411368, 4071, 688, 87, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411409, 4059, 786, 67, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411450, 4031, 708, 33, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411491, 4168, 443, 67, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411532, 4184, 267, -162, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411573, 4129, 609, 0, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411614, 4144, 279, -18, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411655, 4158, 485, 75, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411696, 4331, 441, 299, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411737, 4515, 746, 335, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411771, 4902, 426, 443, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411806, 5752, 338, 1052, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411841, 5915, -152, 1896, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411876, 4849, 628, 266, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411911, 3862, 696, -593, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411945, 3956, 701, -93, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
411980, 3714, 1008, 2, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412015, 4030, 1155, 270, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412050, 3850, 484, 71, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412085, 3445, 607, 282, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412121, 4425, 1255, 4699, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412158, 2560, 1230, 807, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412194, 2475, 2183, 1378, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412231, 2260, 2289, 2783, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412268, 1647, 1369, 2529, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412304, 1281, 1326, 2934, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412341, 1511, 1992, 6025, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412378, 1422, 2642, 4305, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412414, 1291, 1799, 2476, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412451, 1022, 957, 2567, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412488, 1278, 1530, 3489, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412528, 1949, 2515, 3293, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412568, 2390, 2576, 3741, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412609, 2197, 2361, 2657, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412649, 2828, 2513, 2559, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412690, 2941, 3283, 1841, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412730, 3213, 1929, 3074, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412770, 1116, 2069, 4063, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412811, 1613, 1771, 3842, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412851, 2200, 1921, 3368, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412892, 2589, 2126, 2934, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412938, 2738, 1651, 2591, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
412985, 2785, 1834, 1893, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413031, 2762, 1818, 1387, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413078, 2637, 1577, 1770, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413125, 3271, 2593, 603, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413171, 3549, 2843, 607, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413218, 3748, 2549, 74, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413264, 4322, 2356, -10, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413311, 5038, 1557, 155, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413358, 5071, 1233, -576, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413389, 4849, 447, -507, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413421, 4827, 195, 211, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413453, 3996, 224, 772, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413485, 3522, 628, 1714, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413517, 3475, -119, 940, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413549, 3052, 692, 555, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413581, 3334, 456, 463, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413613, 3577, 401, 206, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413645, 3579, 1006, 212, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413677, 3980, 680, 114, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413709, 3929, 1285, 530, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413749, 4096, 1717, 513, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413789, 4577, 1466, 931, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413829, 4453, 1005, 650, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413869, 4597, 1475, 922, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413909, 4661, 2069, 1576, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413949, 4144, 2681, 1910, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
413989, 3752, 3598, 2002, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414029, 3870, 3806, 2459, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414069, 2794, 3281, 2544, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414110, 2022, 3435, 2573, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414145, 1269, 3405, 2835, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414181, 531, 3444, 2398, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414216, -108, 2559, 2098, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414252, -731, 2189, 2333, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414288, -1476, 2185, 1740, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414323, -2176, 1066, 1644, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414359, -2656, 855, 1292, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414395, -3064, 15, 1266, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414430, -3492, -244, 1433, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414466, -3489, -595, 887, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414502, -3151, -1078, 580, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414543, -2817, -1372, 177, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414584, -2269, -1966, -385, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414625, -1741, -2351, -607, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414666, -1763, -2640, -884, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414708, -1777, -2744, -546, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414749, -1965, -2425, -497, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414790, -1892, -1800, -446, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414831, -2022, -1050, -413, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414872, -2525, 469, -174, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414914, -2873, 771, 1833, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414951, -3244, 2521, 2395, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
414989, -2899, 2364, 2805, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415027, -2319, 4668, 2353, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415064, -2626, 5990, 2850, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415102, -2162, 4102, 2142, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415140, -1697, 4333, 1597, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415177, -1306, 4480, 1600, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415215, -1553, 4373, 883, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415253, -1197, 4521, 620, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415291, -695, 4100, 1024, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415329, -932, 3809, 996, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415368, -443, 4447, 925, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415407, -554, 3564, 1032, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
