300728, 2747, 1930, 2442, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300773, 2763, 1917, 2435, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300818, 2727, 1932, 2438, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300863, 2754, 1949, 2404, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300895, 2747, 1957, 2391, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300928, 2672, 2071, 2456, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300961, 2722, 1987, 2461, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
300994, 2789, 1932, 2387, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301027, 2809, 1846, 2383, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301059, 2844, 1884, 2442, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301092, 2815, 1925, 2424, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301125, 2741, 1848, 2427, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301158, 2757, 1842, 2436, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301191, 2811, 1914, 2406, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301224, 2761, 1910, 2411, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301263, 2831, 1875, 2407, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301302, 2882, 1894, 2386, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301341, 2900, 1828, 2369, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301380, 2911, 1763, 2317, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301419, 2914, 1822, 2393, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301458, 2902, 1757, 2372, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301497, 2953, 1750, 2316, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301536, 2972, 1741, 2359, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
