207398, -1449, 3310, -1868, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207435, -1454, 3424, -1633, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207473, -1367, 3296, -1697, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207510, -1056, 4084, -1401, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207548, -1926, 4888, -1036, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207586, -2008, 4053, -558, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207624, -1244, 4566, -733, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207662, -1593, 4660, 20, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207701, -2127, 3761, 1063, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207739, -2241, 4760, 849, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207777, -2540, 3742, 911, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207815, -3208, 4208, 663, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207854, -2803, 4024, 780, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207892, -3124, 3323, 898, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207930, -3149, 2882, 1009, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
207969, -3420, 846, 1624, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208009, -3460, 645, 1181, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208050, -2873, -369, 1185, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208090, -1898, -1741, 656, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208131, -1397, -1670, -108, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208171, -717, -3472, -661, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208212, -661, -3666, -743, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208252, -252, -3718, -324, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208293, -274, -3146, -331, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208333, -109, -2661, -38, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208374, 145, -1821, -23, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208413, 650, -929, 428, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208452, 1110, 440, 549, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208491, 2351, 3238, 938, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208530, 1722, 3055, 243, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208569, 5626, 4353, 1497, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208608, 7080, 4613, 842, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208647, 10546, 4091, 1570, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208686, 15842, 2993, -726, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208725, 10930, 3397, -2249, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208765, 4191, 3594, -1829, 91, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208801, 4303, 1738, -518, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208838, 5420, 2641, -845, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208874, 5086, 2549, -1040, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208911, 3093, 2561, -147, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208947, 1964, 2370, -603, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
208984, 1751, 2405, -691, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209020, 2451, 1595, -625, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209057, 3921, 464, -1528, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209093, 3119, -301, -835, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209130, 2572, -2865, -2231, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209167, 4547, -5636, 783, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209205, 2555, 1103, -1801, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209244, 5013, -3668, -587, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209283, 3140, -796, -867, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209321, 4111, -1108, -876, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209360, 4517, -1326, -778, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209399, 3993, -937, -1186, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209437, 4156, -1612, -988, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209476, 4032, -1086, -1436, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209515, 4032, -989, -1334, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209554, 3583, -1374, -1899, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209589, 3866, -1161, -2098, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209625, 3651, -1205, -2296, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209661, 3946, -1262, -1950, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209697, 4069, -1828, -1017, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209733, 3479, -803, -944, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209768, 3480, -836, -1508, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209804, 4363, -2114, -2362, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209840, 3684, -1794, -2421, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209876, 3310, -968, -2196, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209912, 4256, -997, -1429, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209948, 3344, -427, -1092, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
209990, 3624, -1471, -1391, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
210032, 4087, -1538, -2728, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
210074, 3667, -1471, -2206, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
210117, 3220, -1238, -1933, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
210159, 3166, -1492, -1978, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
210201, 3101, -1528, -2176, 92, ae208764-4bc6-4b54-b217-c32b885dc2c9, , transisi, transisi_bersedekap_ke_ruku, , 
