70413, -1028, 3648, -1523, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70453, -1088, 3635, -1446, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70493, -982, 3636, -1379, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70533, -1034, 3587, -1527, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70574, -1153, 3777, -1481, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70615, -1144, 3643, -1433, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70657, -974, 3879, -1631, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70699, -509, 3217, -1063, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70741, -444, 4052, -1243, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70783, -607, 3809, -524, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70825, -899, 4242, -183, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70867, -1122, 4335, -405, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70909, -1377, 4418, -211, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70951, -1614, 4433, 299, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
70993, -1519, 3541, 1469, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71029, -1443, 3910, 1692, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71065, -1926, 3620, 2359, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71102, -1881, 2580, 3314, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71138, -2216, 2541, 3703, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71174, -2326, 2070, 3209, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71211, -2508, 1522, 2902, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71247, -2477, 1549, 2871, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
