97384, -914, 3010, -2558, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97417, -929, 3022, -2578, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97451, -870, 3010, -2661, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97484, -910, 3103, -2520, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97517, -823, 2944, -2500, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97551, -1150, 2947, -2528, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97584, -808, 2877, -2418, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97618, -725, 2985, -2649, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97656, -882, 3048, -2620, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97694, -723, 2883, -2475, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97732, 434, 2784, -2384, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97770, -620, 3904, -2622, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97808, -224, 2914, -2286, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97846, -178, 2995, -2011, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97884, -721, 3516, -2532, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97922, -692, 3422, -2563, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97960, -1069, 3169, -2281, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
97998, -1032, 3686, -2385, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98036, -1057, 3342, -2364, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98075, -1276, 3708, -2380, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98115, -1347, 4029, -2202, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98154, -1335, 4739, -2723, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98194, -1885, 4347, -1625, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98234, -2279, 4803, -1309, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98273, -2561, 4522, -1028, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98313, -2745, 3969, -542, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98352, -2812, 3870, -671, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98392, -3429, 3009, -51, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98432, -3220, 2973, 366, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98470, -3465, 1781, 554, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98509, -3789, 1253, 351, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98547, -3016, 91, 728, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98586, -2210, -727, 687, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98625, -1888, -1539, 631, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98663, -1280, -1864, 406, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98702, -1120, -2644, 489, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98740, -1422, -3048, 593, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98779, -1184, -3216, 1029, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98818, -1286, -2760, 961, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98854, -1242, -2345, 657, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98891, -807, -1674, 403, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98927, -249, -832, 274, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
98964, 725, 68, 302, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99000, 1339, 2425, 446, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99037, 2099, 3384, -10, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99073, 4149, 6845, 615, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99110, 5446, 4191, -604, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99146, 9158, 2661, -210, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99183, 16622, 3341, -1048, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99220, 11859, 4777, -2251, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99259, 4266, 2592, -1691, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99298, 3735, 493, -394, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99338, 4580, 1918, -2034, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99377, 5837, 2369, -1952, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99417, 3431, 2318, -487, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99456, 2268, 1485, 149, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99495, 1986, 963, -692, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99535, 3065, 892, -1000, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99574, 4109, 1120, -900, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99614, 3583, 346, -134, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99660, 3404, 485, 174, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99707, 3573, 1262, 1505, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99754, 3962, -3815, -395, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99800, 4537, -2390, -970, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99847, 3300, -2554, -185, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99894, 3529, -3077, -489, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99940, 4044, -2897, 529, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
99987, 3727, -1870, -377, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100034, 3810, -1275, -294, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100081, 3661, -931, -727, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100111, 3761, -1441, -655, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100142, 3737, -1385, -569, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100173, 3185, -801, -691, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100204, 3389, -978, -1418, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100235, 3547, -1028, -1770, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100265, 3808, -2039, -2058, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100296, 4181, -2820, -1738, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100327, 4203, -2402, -1703, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100358, 4475, -1781, -1353, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100389, 4069, -1175, -1498, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100420, 4361, -2102, -193, 90, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100459, 3851, -1456, -1567, 91, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100499, 3659, -1214, -2470, 91, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100539, 3465, -1391, -1419, 91, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100579, 4747, -1377, -1430, 91, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100619, 4155, -1498, -1661, 91, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
100659, 3622, -1710, -1583, 91, b3e81799-dcf9-4e41-8697-06d08238cfd5, , transisi, transisi_bersedekap_ke_ruku, , 
