158939, -76, 4174, 391, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
158975, 56, 4470, 403, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159011, 397, 4600, 544, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159047, 621, 4719, 480, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159083, -50, 5305, 852, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159119, 36, 5737, 1978, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159155, 137, 4548, 2587, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159191, -31, 3702, 3446, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159229, -173, 4403, 3630, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159267, -707, 2770, 3689, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159305, -1075, 2035, 3032, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159344, -1919, 2895, 1937, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159382, -2784, 2199, 1471, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159420, -2782, 1184, 1667, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159459, -2978, 1083, 1169, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
