46370, 374, 4005, -1033, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46411, 408, 3967, -1000, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46451, 414, 3998, -992, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46492, 377, 4146, -961, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46527, 587, 4507, -968, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46563, 855, 4758, -1174, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46599, 540, 4800, -608, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46635, 689, 5617, -1012, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46671, 813, 6827, -228, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46707, 703, 4725, 1432, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46743, 449, 2511, 1896, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46779, -319, 1674, 1294, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46815, -891, 1060, 470, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46851, -1305, 974, 152, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46887, -752, 487, -107, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46927, -168, 849, -342, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
46967, 456, 1102, -1040, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47007, 1319, 3102, -2793, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47047, 1248, 3426, -2486, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47087, 2286, 1579, -1035, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47127, 4895, -1282, -343, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47167, 8525, -1548, 943, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47207, 10960, -224, 1277, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47247, 9344, 442, 793, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
