262745, 309, 3880, -1348, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262777, 349, 4015, -1359, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262809, 233, 4204, -1561, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262841, 478, 4829, -1537, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262873, 196, 4654, -1421, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262906, 757, 4161, -1111, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262950, 761, 4599, -600, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
262995, 304, 4966, -571, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263040, 674, 5621, -520, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263085, 359, 3496, 541, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263130, 72, 2102, 930, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263175, -399, 2071, 666, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263220, -482, 1997, 213, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263265, -741, 1340, 268, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263310, -230, 943, 219, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263355, 684, 959, -240, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263390, 1564, 1313, -878, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263425, 2497, 1781, -1500, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263461, 3898, 2159, -2122, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263496, 6210, 1048, -1252, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263532, 10572, 535, 666, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263567, 9505, 3147, 718, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263602, 5785, 3313, -240, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263638, 4339, 217, -49, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263673, 5123, 56, -866, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263709, 4960, 1339, -1076, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263744, 4194, 2106, -329, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263779, 2850, 1685, -150, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263814, 3148, 1721, -487, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
