340030, -547, 3803, -986, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340070, -837, 3914, -852, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340111, -784, 3969, -876, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340145, -656, 4006, -802, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340179, -793, 4108, -864, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340213, -246, 4117, -719, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340248, -672, 4347, -604, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340282, -84, 3852, -699, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340316, -185, 3924, -236, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340350, -1843, 4293, -240, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340385, -877, 4784, 55, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340419, -1240, 4319, 433, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340453, -1650, 4980, 350, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340488, -1874, 4477, 636, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340531, -2255, 4014, 978, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340574, -2441, 3694, 1002, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340617, -2717, 2761, 1285, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340660, -3287, 2053, 1495, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340704, -3566, 1797, 1540, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340747, -3853, 1018, 1555, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340790, -3942, 1161, 1633, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
