326262, -721, 4002, -819, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326303, -741, 3956, -718, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326343, -670, 3875, -664, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326384, -683, 4011, -735, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326425, -678, 3976, -661, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326460, -934, 4118, -609, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326495, -966, 4193, -332, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326531, -760, 4194, -133, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326566, -253, 4388, -6, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326601, -999, 5491, -21, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326637, -1164, 5273, 456, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326672, -1239, 4835, 572, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326707, -1764, 4361, 637, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326743, -2267, 4859, 320, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326778, -2187, 3781, 698, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326814, -2604, 3844, 597, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326856, -2663, 3380, 253, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
