144495, -1091, 3742, -1074, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144533, -1948, 3718, -1113, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144571, -1274, 3764, -1103, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144609, -1164, 3782, -952, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144647, -429, 4348, -857, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144685, -935, 4169, -874, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144723, -920, 4024, -688, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144761, -868, 4198, -24, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144800, -1011, 4797, -176, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144838, -1241, 4452, 142, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144877, -1450, 4402, 483, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144916, -1520, 4461, 368, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144954, -1808, 4119, 530, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
144993, -2175, 3981, 1283, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145032, -2133, 3420, 1971, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145071, -2506, 3839, 1787, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145109, -2898, 2871, 2364, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145148, -3052, 2286, 2547, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145187, -3275, 1604, 2478, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145226, -3282, 1489, 2360, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
