54202, -239, 3608, -1796, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54237, -409, 3577, -1834, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54272, -539, 3493, -1820, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54307, -198, 3542, -1759, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54342, -288, 3709, -1534, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54377, 142, 3857, -1149, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54412, 40, 4260, -1362, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54447, -299, 4216, -1224, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54491, -742, 4536, -1352, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54536, -1060, 4573, -1371, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54580, -1374, 4419, -1506, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54625, -1714, 4913, -1654, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54669, -2193, 4151, -1321, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54714, -2358, 4439, -838, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54758, -2332, 4074, -494, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54803, -2907, 3595, -169, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54847, -3220, 3577, 1069, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54892, -3318, 2710, 1453, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54927, -3483, 2088, 1469, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54963, -3566, 905, 1444, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
54999, -3346, 297, 1065, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
