283544, -736, 3658, -1794, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283583, -897, 3806, -1793, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283621, -598, 3780, -1564, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283659, -878, 3881, -1140, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283698, -890, 4572, -1048, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283736, 910, 5481, 233, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283774, -2038, 4566, 1008, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283813, -998, 5661, 615, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283851, -1854, 3894, -150, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283889, -2334, 4027, 637, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283928, -2700, 4183, 518, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
283968, -2781, 3875, 376, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284008, -3085, 3782, 225, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284048, -3076, 2210, 1494, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284088, -3306, 1934, 1909, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284128, -2904, 675, 1816, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284168, -2845, -313, 1407, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284208, -2556, -1131, 1222, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284248, -2236, -1580, 727, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284288, -1438, -2212, 280, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284328, -1232, -2835, 43, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284368, -1139, -3209, -658, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284408, -703, -3097, -478, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284449, -390, -2370, -441, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284486, -197, -1694, -258, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284523, 161, -723, -132, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284560, 475, 989, 519, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284597, 605, 3373, 1277, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284634, 1279, 3826, 1030, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284671, 2492, 9649, 2139, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284708, 2585, 4362, 964, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284745, 5312, 8673, 776, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284782, 5353, 6221, 1697, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284819, 4338, 4814, 1347, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284856, 3401, 4412, 1476, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284893, 2459, 3775, 2274, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284930, 1550, 3457, -986, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
284968, 1570, 3063, -1491, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285006, 2233, 1794, -608, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285044, 2347, 515, -593, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285082, 3572, 414, -691, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285120, 4225, -202, -617, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285158, 5165, 880, -966, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285196, 4517, -217, -285, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285234, 4176, 300, -802, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285272, 3969, -261, -627, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285310, 4214, -195, -1088, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285348, 4303, 252, -1417, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285386, 4168, -283, -1718, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285425, 4064, 48, -1895, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285464, 4114, -617, -2007, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285503, 4136, -530, -1941, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285542, 4184, -357, -1680, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285581, 4058, -569, -1752, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
