138253, 518, 4206, 330, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138289, 646, 4835, -50, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138325, 1844, 4757, 801, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138361, 2116, 4713, 1464, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138397, 1782, 4909, 1551, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138433, 1301, 4372, 1352, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138473, 693, 4810, 1202, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138513, -146, 4719, 1254, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138553, -478, 5649, 1189, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138593, -1293, 4625, 1222, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138633, -1476, 4616, 1066, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138673, -1366, 3705, 1259, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138713, -1949, 2034, 1093, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138753, -2328, 1508, 1409, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138793, -2858, 915, 1181, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138834, -3085, 230, 1141, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138874, -3398, -243, 712, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138915, -3419, -821, 668, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138955, -3579, -952, 952, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
138996, -3456, -1382, 701, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139036, -3231, -1674, 863, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139077, -3198, -1671, 915, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139117, -2920, -1512, 895, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139158, -2821, -1781, 660, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139198, -2644, -1526, 677, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139239, -2613, -1686, 372, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139272, -2257, -1585, -305, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139306, -1605, -1315, -496, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139340, -1166, -1241, -576, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139373, -693, -1270, -744, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139407, 660, -998, -694, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
