94594, -612, 3852, -1559, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94631, -733, 3612, -1413, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94668, 574, 2360, -452, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94704, -1127, 4831, -1631, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94741, -690, 3200, -1790, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94778, -648, 4183, -1337, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94815, -559, 3845, -1342, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94852, -960, 4642, -849, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94889, -866, 4702, -777, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94926, -1323, 5380, -952, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
94967, -1448, 4656, -222, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95008, -1870, 4980, -60, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95049, -1802, 4014, 1036, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95090, -2419, 4613, 1358, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95132, -2442, 3778, 1663, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95173, -3096, 3707, 1823, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95214, -3123, 2628, 1993, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95255, -3376, 1838, 1862, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95297, -3131, 1384, 1804, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95338, -3021, 449, 1492, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95379, -2397, -127, 1122, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95420, -2057, -1207, 373, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95462, -1349, -1725, 103, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95498, -935, -2706, -371, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95534, -566, -3056, -543, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95570, -404, -3113, -391, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95607, -208, -2360, -208, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95643, 152, -1475, -84, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95679, 717, -443, 412, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95716, 1627, 554, 555, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95752, 2407, 3685, 1500, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95788, 3498, 3457, 2318, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
