38648, -781, 3593, -1119, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38688, -891, 3785, -1338, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38729, -890, 3901, -1186, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38770, -800, 3942, -1054, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38811, -711, 3834, -1158, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38852, -424, 3800, -795, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38892, 85, 3898, 361, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38933, -726, 4126, -511, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
38974, -448, 4257, -279, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39015, -1373, 5319, -719, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39056, -1667, 5259, -688, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39092, -2013, 5186, -436, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39128, -2352, 5404, -216, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39164, -2538, 4926, 877, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39200, -2860, 4720, 1301, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39236, -3100, 3378, 1702, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39273, -3645, 2233, 2000, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39309, -3322, 1657, 1969, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39345, -2739, 453, 1155, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39381, -1378, -185, 663, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39417, -428, -2281, -774, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39454, -382, -3301, -1035, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39494, -246, -3277, -595, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39535, -237, -2672, -658, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39576, -47, -2054, -531, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39617, 48, -1293, -263, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
