100546, -1511, 3106, -2201, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100586, -1504, 3120, -2169, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100619, -1476, 3168, -2228, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100652, -1459, 3122, -2076, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100685, -1382, 2846, -1865, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100718, -1330, 3044, -1854, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100751, -899, 2932, -2023, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100784, -1558, 3169, -2236, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100817, -934, 4223, -1837, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100850, -1207, 3761, -1717, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100883, -1226, 3905, -1765, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100916, -1120, 3867, -1855, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100950, -1252, 3927, -1460, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
100991, -1477, 3928, -1297, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101032, -1569, 4140, -889, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101073, -1885, 4010, -326, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101115, -1942, 4115, -41, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101156, -2491, 4381, 388, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101197, -2830, 3971, 736, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101239, -2910, 4058, 1556, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101280, -3422, 3658, 2061, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101321, -3602, 3819, 2273, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101363, -4656, 3357, 3337, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101406, -4351, 3336, 3380, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101449, -3942, 3217, 2767, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101492, -2216, 2258, 1759, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101535, -400, 1209, 624, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101579, 898, -1956, -660, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101622, 933, -4417, -2067, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101665, 1136, -3953, -808, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101708, 878, -4644, -760, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101751, 1083, -2909, -681, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101795, 1102, -2707, -708, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101827, 1500, -1433, -1007, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101859, 1950, -137, -113, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101891, 2894, 2971, 271, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101923, 3052, 4633, 1376, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101955, 5136, 6816, 1779, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
101987, 6205, 6443, 1789, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102019, 8421, 5034, 1563, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102051, 9706, 4825, 1751, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102083, 9322, 4763, 562, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102115, 6717, 2708, -649, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102147, 7766, 2308, -1158, 105, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102190, 6004, 2918, -1196, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102233, 4659, 3389, -1194, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102276, 3517, 3043, -1091, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102319, 3123, 2738, -764, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102362, 3274, 2019, -774, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102405, 3370, 2106, -682, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102448, 3772, 1659, -128, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102491, 4363, 688, -156, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102534, 3775, -556, 341, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102577, 4101, -1142, -506, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102612, 3678, 150, -980, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102647, 2741, -4957, -1376, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102682, 3872, -5915, 5, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102717, 2135, -1030, -443, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102752, 3680, -2256, -373, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102787, 4062, -2269, 234, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102822, 4145, -713, -893, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102857, 3841, -42, -563, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102892, 3778, -943, -693, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102927, 3783, -1228, -1353, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
102963, 3724, -1343, -1086, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103002, 3579, -1248, -889, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103041, 3552, -1069, -929, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103080, 4064, -1307, -1888, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103119, 3814, -1653, -1474, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103159, 4025, -1586, -1689, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103198, 3876, -1916, -1394, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103237, 3737, -1558, -1680, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
