52043, -398, 3658, -1482, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52080, -536, 3791, -1542, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52117, -423, 3713, -1737, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52154, -536, 3819, -1437, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52191, -225, 3942, -1505, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52228, -543, 3716, -1632, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52265, -307, 3856, -1489, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52302, -322, 3772, -1448, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52339, -375, 4001, -1089, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52376, -154, 3577, -1143, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52413, -158, 5055, -1289, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52458, -357, 4232, -992, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52503, -918, 4263, -1034, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52548, -1102, 5016, -771, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52593, -1153, 4768, -728, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52638, -1531, 4923, -189, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52683, -1833, 4638, 414, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52728, -1979, 4814, 637, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52773, -2279, 4630, 1343, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52818, -2372, 4334, 1331, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52864, -2749, 3079, 1242, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52898, -3244, 2415, 1431, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
