129584, -1932, 3268, -1799, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129621, -1765, 3328, -1682, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129657, -1312, 3245, -1523, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129694, -1722, 3308, -1652, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129730, -1623, 3430, -1925, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129767, -1708, 3508, -1463, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129803, -1367, 3463, -1184, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129840, -1573, 3847, -1184, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129876, -2286, 4767, -1228, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129913, -2091, 4516, -555, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129950, -1934, 3557, -141, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
129992, -2317, 4338, -158, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130034, -2857, 4339, 263, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130077, -2958, 4299, 164, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130119, -3024, 3124, 599, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130162, -3141, 2927, 1201, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130204, -3337, 2655, 1268, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130246, -3470, 1819, 1368, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130289, -3885, 1191, 1682, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130331, -3667, 512, 1395, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130374, -3295, 112, 1357, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130411, -3035, -836, 1067, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130448, -2369, -1360, 724, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130485, -1513, -1825, 357, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130522, -712, -3137, -367, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130559, -462, -3665, -758, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
