224532, -654, 3447, -2099, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224567, -682, 3519, -2018, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224603, -722, 3545, -2158, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224639, -789, 3548, -2074, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224675, -470, 3334, -1887, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224710, -853, 3454, -1978, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224746, -422, 3403, -1892, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224782, -428, 3843, -1871, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224818, -297, 3899, -1703, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224861, -563, 3900, -1639, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224905, -290, 4098, -1488, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224949, -829, 4062, -1708, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
224993, -839, 3760, -1614, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225037, -1041, 3710, -1586, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225080, -1053, 4104, -1590, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225124, -1292, 4044, -1526, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225168, -1518, 4086, -1595, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225212, -1765, 4238, -1505, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225256, -1925, 4420, -1425, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225291, -2320, 4347, -1123, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225327, -2321, 4177, -380, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225363, -3037, 3441, -156, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225398, -3116, 2815, 369, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225434, -3890, 2587, 849, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
