39710, -996, 3666, -1481, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
39743, -1023, 3661, -1460, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
39786, -801, 3745, -1371, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
39829, -1004, 3208, -1112, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
39873, -379, 3873, -1345, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
39916, -516, 3467, -1107, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
39960, 127, 3559, -506, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40003, -859, 4091, -1116, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40046, -1429, 4321, -782, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40090, -1590, 4777, -643, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40133, -1814, 4617, 390, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40177, -2341, 5395, 1457, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40214, -2325, 5846, 1176, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40251, -2518, 5172, 1403, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
