67321, -1027, 3739, -1136, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67355, -1060, 3783, -1135, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67389, -1048, 3796, -1131, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67423, -1041, 3813, -1142, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67457, -1034, 3809, -1123, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67491, -1030, 3842, -1127, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67525, -1058, 3785, -1117, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67560, -1015, 3795, -1123, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67595, -967, 3782, -1132, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67631, -980, 3802, -1124, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67666, -1000, 3767, -1182, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67702, -968, 3813, -1108, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67737, -1019, 3796, -1165, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67773, -966, 3820, -1217, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67808, -979, 3795, -1118, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67844, -1045, 3781, -1112, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67879, -969, 3792, -1146, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67915, -924, 3762, -1137, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67955, -929, 3760, -1168, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
67996, -906, 3767, -1184, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68036, -851, 3733, -1036, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68077, -975, 3823, -1068, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68118, -902, 3821, -1019, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68158, -898, 3902, -984, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68199, -735, 3744, -897, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68239, -437, 4024, -949, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68280, 5, 6279, -2892, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68321, -1819, 3341, -1026, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68357, -967, 4318, -754, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68393, -966, 4856, -801, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68429, -1535, 4812, -425, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68465, -1787, 5492, -747, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68501, -2206, 4881, -354, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68537, -2052, 4324, 107, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68573, -2259, 4855, 437, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68609, -2522, 4186, 729, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68645, -2705, 3219, 1311, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68681, -3076, 2569, 1990, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68717, -3112, 630, 1851, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68756, -2981, 360, 1954, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68796, -2683, -262, 978, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68836, -1968, -1131, 730, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68876, -1245, -1725, -50, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68916, -471, -3693, -970, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68955, -357, -3247, -990, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
