107268, -960, 3891, -1119, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107309, -960, 3875, -961, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107350, -944, 4417, -641, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107391, -1551, 5580, -269, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107432, -1383, 6297, 161, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107473, -1516, 5532, 1084, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107514, -1824, 5447, 945, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107555, -1975, 4856, 1245, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107597, -2530, 3998, 1941, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107634, -2656, 3379, 1897, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107672, -3203, 1818, 1923, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107709, -3181, 1191, 1689, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107747, -2820, 190, 1344, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107785, -1490, -513, 510, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107822, -800, -2231, -901, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107860, -368, -3566, -1876, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107898, -326, -3690, -1654, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107935, -254, -3209, -1384, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
107973, 57, -2682, -1194, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108011, 409, -1778, -675, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
