211968, -142, 4097, 193, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212004, -175, 4074, 184, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212041, -121, 4147, 184, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212078, -116, 4279, 165, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212114, -147, 4408, 209, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212151, -108, 4789, 440, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212188, 462, 5159, 701, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212225, 806, 5352, 899, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212261, -840, 5111, 1776, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212298, -192, 3948, 3387, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212335, -234, 3469, 4188, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212372, -558, 3399, 3485, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212416, -1162, 2665, 2669, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212461, -2088, 2208, 1537, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212506, -2582, 2237, 856, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212551, -3110, 1430, 806, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212596, -3212, 1312, 227, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212640, -3346, 326, 155, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212685, -3265, -97, 431, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212730, -3425, -793, 469, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212775, -3496, -1299, 123, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212820, -3509, -1298, 734, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212854, -3516, -1204, 1108, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212889, -3507, -1179, 1336, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212924, -3465, -987, 1304, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212959, -3439, -1186, 813, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
212994, -3284, -1398, 635, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213028, -2976, -1300, 517, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213063, -2653, -1229, 435, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213098, -2295, -864, 696, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213133, -2384, -500, 822, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213168, -1718, 102, 1058, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213206, -1117, 572, 1674, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213244, -492, 1102, 2156, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213282, 280, 2612, 3282, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213320, 557, 2999, 3550, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213358, 1157, 3671, 3363, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213397, 1939, 2959, 3440, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213435, 2639, 4554, 2803, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
