83037, -569, 3921, -1301, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83077, -1198, 3640, -988, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83118, -933, 3522, -1194, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83158, -444, 3921, -1280, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83199, 172, 3887, -1138, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83236, -1583, 4774, -577, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83273, 117, 4629, -615, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83310, -155, 4465, -697, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83348, -379, 4327, -319, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83385, -678, 5096, -427, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83422, -1099, 4934, 17, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83459, -931, 5052, 663, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83497, -1169, 4816, 1041, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83534, -1298, 4404, 1731, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83571, -1571, 4397, 2142, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83609, -1825, 3779, 2354, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83649, -2174, 3315, 2566, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83690, -2652, 3118, 2384, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83731, -3048, 2412, 2437, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83771, -3030, 1887, 2204, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83812, -2280, 1424, 1989, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83853, -1331, -237, 944, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83893, -503, -1683, 23, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83934, -858, -4143, -1020, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
83975, -1272, -4241, -2313, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84016, -590, -4331, -873, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84052, -288, -3096, -733, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84089, 203, -2026, -606, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84126, 994, -562, -227, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84163, 1988, -23, 99, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84200, 3286, 1174, 714, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84236, 4664, 4350, 2808, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84273, 5804, 1285, -794, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84310, 11458, -877, -2705, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84347, 20632, 2584, -2106, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84384, 13957, 6235, -1969, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84420, 7428, 2165, -1409, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84457, 5185, 1954, -757, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84494, 5676, 201, -387, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84531, 5699, 2958, -950, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84568, 3782, 2540, -697, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84604, 2855, 2673, -675, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84641, 2600, 1785, -805, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84678, 3520, 1937, -773, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84715, 4129, 1276, -351, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84752, 4370, 630, -186, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84789, 4269, 339, -413, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84829, 4340, -251, -1609, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84870, 3851, -148, -2098, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84911, 2743, -10111, -505, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84952, 2271, -2684, -1457, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
84993, 2865, -564, -2759, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85034, 2479, -1447, -1681, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85075, 3107, -1148, -1765, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85116, 3169, -1150, -1527, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85157, 3313, -1089, -1761, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85198, 3888, -823, -1360, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85237, 4131, -1022, -1149, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85277, 4123, -1459, -1439, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85316, 3790, -1002, -2049, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85356, 3556, -793, -2339, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85396, 3553, -1076, -2661, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
85435, 3565, -1036, -2893, 107, 8eccaeed-9425-4b57-b398-ba3a026c5107, , transisi, transisi_bersedekap_ke_ruku, , 
