104568, -308, 4026, 683, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104603, 356, 4304, 630, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104638, 805, 3912, 878, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104674, -1820, 3480, 460, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104709, 889, 3626, 924, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104744, 722, 4475, 1301, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104780, 692, 4370, 1551, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104816, 1788, 3657, 1858, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104853, 719, 3817, 1405, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104890, 328, 4163, 1362, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104926, -269, 4690, 1335, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
104963, -630, 4018, 1308, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105000, -1122, 3394, 1238, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105037, -1173, 4565, 811, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105073, -2161, 4055, 898, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105110, -1971, 3482, 730, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105147, -2228, 3923, 637, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105184, -2147, 2610, 1180, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105225, -2482, 2996, 1262, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105267, -2623, 2313, 1445, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105308, -2915, 1676, 1306, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105350, -2787, 1625, 1216, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105391, -3264, 1038, 1484, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105433, -3137, 1172, 1377, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105474, -3297, 1076, 1611, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105516, -3422, 753, 1679, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105557, -3280, 492, 1499, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105599, -3441, 361, 1722, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105638, -3379, 549, 1706, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105678, -3204, 618, 1466, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
