69838, 249, 3991, -548, 89, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
69870, 364, 4166, -463, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
69902, -820, 3488, -437, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
69934, -117, 4179, -811, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
69966, 868, 4426, -87, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
69998, 1222, 5101, 790, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70031, 732, 4413, 501, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70063, 258, 4642, 150, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70095, -495, 4877, -190, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70127, -763, 4610, 46, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70159, -1535, 4760, 377, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70192, -1835, 4549, 703, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70236, -1928, 5506, 858, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70281, -1915, 5491, 1232, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70326, -2071, 3752, 1267, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70370, -2723, 879, 1147, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70415, -2872, 479, 951, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70460, -2911, -508, 421, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70504, -3266, -753, 199, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70549, -2875, -1159, 422, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70594, -2635, -1618, 424, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70639, -2255, -2054, 327, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70673, -1879, -2318, 390, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70707, -1312, -1975, 66, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70742, -1089, -1979, -164, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70776, -770, -1844, -496, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70811, -223, -1574, -509, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70845, 530, -676, -566, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70879, 1551, 7, -156, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70914, 3048, 636, 618, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70948, 5419, 3626, -158, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
70983, 7393, 5419, -49, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71019, 11593, 5490, 1217, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71056, 11369, 5553, 1863, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71093, 7364, 4204, 435, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71130, 4898, 3540, 71, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71167, 3654, 3429, -361, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71204, 2998, 3003, -1223, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71241, 3377, 867, -1182, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71278, 3093, -40, -1368, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71315, 3810, -126, -1106, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71352, 3246, 35, -747, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71389, 2844, -131, -1258, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71431, 3361, -304, -1349, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71473, 3059, -20, -1450, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71515, 3805, -542, -768, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71557, 4123, -585, -754, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71599, 4547, -311, -898, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71641, 4100, -532, -1566, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71683, 4540, -488, -1963, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71725, 3852, -83, -1704, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71767, 4173, -811, -1733, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
71809, 4340, -99, -2371, 91, 202c8a5b-9fc9-4321-9cf3-511600f1fd9d, , transisi, transisi_bersedekap_ke_ruku, , 
