156167, -747, 3394, -2047, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156206, -776, 3398, -2065, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156246, -759, 3508, -2141, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156285, -766, 3472, -2008, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156324, -655, 3878, -2236, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156364, -888, 3384, -1953, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156403, -778, 3508, -1924, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156443, -989, 3709, -2114, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156484, -785, 3937, -1435, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156525, -1101, 4486, -1017, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156567, -1138, 4616, -544, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156608, -1434, 4481, -743, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156650, -1686, 4971, -856, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156691, -1639, 4293, 67, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156733, -2083, 4601, -90, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156774, -2344, 3887, 168, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156816, -2674, 4055, 523, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156857, -2974, 3204, 884, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156899, -3263, 2590, 1203, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156940, -3687, 2142, 1589, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
156982, -3640, 1496, 1694, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157017, -3444, 506, 1584, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157053, -3032, -140, 1408, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157089, -2105, -1093, 855, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157124, -1655, -1561, -11, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157160, -1407, -2654, -321, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157196, -1080, -2686, -512, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157231, -787, -2700, -507, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157267, -465, -2067, -226, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157303, -303, -1407, -19, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157338, 171, -534, 209, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
